登記案號,序號,職稱,姓名,網站連結
055法登000003,1,董事長,姚傳淦,https://aomp109.judicial.gov.tw/judbp/whd6k/q/06wU2W54ODoIuZKxEemM4MWogziVPOUBctpd81zpRDtNg05IcU7t
055法登000003,2,"董  事",麥永墀,https://aomp109.judicial.gov.tw/judbp/whd6k/q/6Vnq9kT_uRK49VFc2Qnul8gIqwmnMMzzl_11UEqv_Xkqy3Ecbdsx
055法登000003,3,"董  事",江煒塤,https://aomp109.judicial.gov.tw/judbp/whd6k/q/2JOZTEwI-sVQZq80S1GmiWaxT5cRkW-6ByEg_6G7Tp9Q8TBW9_as
055法登000003,4,"董  事",張進謀,https://aomp109.judicial.gov.tw/judbp/whd6k/q/-BfA4uiGRjkuLyLGMcRQEAimYZ_wOtZ-mTtS4EOVxk8ZpIc0WAOX
055法登000003,5,"董  事",黃培根,https://aomp109.judicial.gov.tw/judbp/whd6k/q/S5Jn-zN7DJ7qQ9tqGdHPd0Y6KwLai9RakBTGWldGakBFTTeng3fx
055法登000003,6,"董  事",何百清,https://aomp109.judicial.gov.tw/judbp/whd6k/q/oswmAZMlZDUWv1KYHwgg6O49grA1lnymYa8tNsXh2qBzlX6j8PZz
055法登000003,7,"董  事",蔡水安,https://aomp109.judicial.gov.tw/judbp/whd6k/q/2GK1SCcq2-AMxTG842OkIG7X5tnkkjWxvlY60KxjHcUqhe9o2A12
055法登000003,8,"董  事",吳玉泉,https://aomp109.judicial.gov.tw/judbp/whd6k/q/HzV86BTiVFN9bPKkkderSzXKIhp8-M3C29BbhTcLbCRuI_8ss7LY
055法登000003,9,"董  事",鄧百川,https://aomp109.judicial.gov.tw/judbp/whd6k/q/n83hFJence4EEIwA2pXzA_DKk73xPoLmV4__t66Srok0yGL0idh_
055法登000003,10,"董  事",劉　強　,https://aomp109.judicial.gov.tw/judbp/whd6k/q/xHi1ckM3h9eIeOQaPeNsISdGSrzThJ_CQ1fsKYxnoLryHUg1mEhx
055法登000003,11,"董  事",梁　福,https://aomp109.judicial.gov.tw/judbp/whd6k/q/ujQFTDEQ3bbRtkQl2BJB7dEkFWLhnGVqmk7ADSZYDuUqZP-7V8h8
055法登000003,12,"董  事",蔡克輝,https://aomp109.judicial.gov.tw/judbp/whd6k/q/tkA2FauKKhn-ETthxSFQP12pPPwQ9KL9ItZA9QuKVpWckqDWzjIq
055法登000006,1,董事長,黃永昌,https://aomp109.judicial.gov.tw/judbp/whd6k/q/3BAMeW58R9ETzAd7JLIaCSrxGGsGolE1OzR8Di4pKgLwf4e9gOBA
055法登000006,2,"董  事",黃六點,https://aomp109.judicial.gov.tw/judbp/whd6k/q/aDfD9Vf7-jPHgQowL0LHKiN1_AIUCUlZXzN48ArMM_-_CuCLKCQp
055法登000006,3,"董  事",賴彌梯,https://aomp109.judicial.gov.tw/judbp/whd6k/q/_fBuQt0OlomwMEYxKmQUSCqI076GuwOwHINUwYhQlX43T_bixVeU
055法登000006,4,"董  事",盧萬德,https://aomp109.judicial.gov.tw/judbp/whd6k/q/z8bS4sQz5Krr_tyxUN4c7CpE6FPk3Cvu9ZrwwtFJHk4jBVj_wXpZ
055法登000006,5,"董  事",李信福,https://aomp109.judicial.gov.tw/judbp/whd6k/q/_Htlp6CXiGNfek0kjiWxbw4TOul0husbm8zsQMLpBLbGcOgERY2e
055法登000006,6,"董  事",賴士德,https://aomp109.judicial.gov.tw/judbp/whd6k/q/0o1NDVOxw11hMgek9nHxNWBogSLWzu7IaKaQhSH3upCf55v1CIUQ
055法登000006,7,"董  事",顏春安,https://aomp109.judicial.gov.tw/judbp/whd6k/q/tkCdqA7wcfjhocYJmOtCyD-TszbKAyU1rr3vTUcGiKiKLRJUGD4Y
055法登000006,8,"董  事",詹德知,https://aomp109.judicial.gov.tw/judbp/whd6k/q/d8gxcB0fQ5CBRCmAnC4m5y_jUXiFxlf5-TdZklttAQcAJrbIob7w
055法登000006,9,"董  事",魏來傳,https://aomp109.judicial.gov.tw/judbp/whd6k/q/qycFUlQlW7BdNVdZdLIPtmMx-i_fWdPD-gPl-mAaALxUjr9gLuFg
055法登000006,10,"董  事",梁許春菊,https://aomp109.judicial.gov.tw/judbp/whd6k/q/CBKZgOcKDk1x8XYgAUjKzsEmELnOHgNJk-ArpMzazDVsF2KNwo6M
055法登000006,11,"董  事",彌口理,https://aomp109.judicial.gov.tw/judbp/whd6k/q/MaiSQNM9QrKFstYXVZPHey2E4xbds_DNqiaI_zN5OgxslbF1yUui
055法登000050,1,董事長,陸怡慈,https://aomp109.judicial.gov.tw/judbp/whd6k/q/KbF11Lf08Epej2OSZPvz75C8QPGNtQrnXbKBQBCqjnU05cxHbDkw7Q==
055法登000050,2,"董  事",林柏瑞,https://aomp109.judicial.gov.tw/judbp/whd6k/q/kH4TEe4yj2rv8-v0ZkE9tpGQ3dxkkywC-VgFI14O6tXh1sBCCt-w8Q==
055法登000050,3,"董  事",陳修軒,https://aomp109.judicial.gov.tw/judbp/whd6k/q/UUmCaOEMyplNOko0YB7mo-H4JqYxZ0Mw9AEFRa1kAIiB81eO451Wmg==
055法登000051,1,董事長,劉主安,https://aomp109.judicial.gov.tw/judbp/whd6k/q/2kkYOBbR4cD7VNz6h5uK06PoGm-5sEt7j7xREUfWqtS_rtX-3ng78g==
055法登000051,2,"董  事",劉青眼,https://aomp109.judicial.gov.tw/judbp/whd6k/q/yLR1u5BG-NdLiy9sf4tB1Uz-pCDx_liuvHQBMfUqr8lp9f857KiEMA==
055法登000051,3,"董  事",劉林淑芳,https://aomp109.judicial.gov.tw/judbp/whd6k/q/xMqPhYG2Ys13yZcoB1GgWuCZQTS-_xuQMGFEy2zC1FdCNTN7PdBEpg==
