登記案號,序號,分事務所地址
098法登他000030,3,台北市南京東路5段108號4樓
098法登他000048,1,台北市北投區立德號123號（台北捐血中心）
098法登他000048,2,台南市永福路1段85號（台南捐血中心）
098法登他000048,3,基隆市信一路14號1樓（台北捐血中心基隆捐血站）
098法登他000048,5,新竹縣竹北市光明十一路215巷8號（新竹捐血中心）
098法登他000048,6,桃園市文康街61號（新竹捐血中心桃園捐血站）
098法登他000048,7,苗栗市為公路282號、292巷1號1樓、2樓（新竹捐血中心苗栗捐血站）
098法登他000048,8,台中市西屯區台中港路3段124-30號（台中捐血中心）
098法登他000048,9,彰化市中山路1段348號（台中捐血中心彰化捐血站）
098法登他000048,10,南投縣埔里鎮北環路222號（台中捐血中心埔里捐血站）
098法登他000048,11,花蓮市中山路1段170號（花蓮捐血中心）
098法登他000048,12,屏東市和平路71號（高雄捐血中心屏東捐血站）
098法登他000048,13,高雄市楠梓區高楠公路1837號（高雄捐血中心）
098法登他000048,14,雲林縣斗六市莊敬路300號（台南捐血中心雲林捐血站）
098法登他000048,15,宜蘭市擺厘路16-7號（花蓮捐血中心宜蘭捐血站）
098法登他000048,16,台北縣板橋市中山路1段50巷36號2樓之3、之4（台北捐血中心板橋捐血站）
098法登他000048,17,澎湖縣馬公市中山路62號（高雄捐血中心馬公捐血站）
098法登他000048,18,嘉義市博愛路1段488號（台南捐血中心嘉義捐血站）
098法登他000048,19,台東市四維路3段198號（花蓮捐血中心台東捐血站）
098法登他000083,1,桃園縣楊梅鎮中山北路1段159號
098法登他000116,1,台中市南屯區五權西路2段668號5樓
098法登他000116,2,高雄市苓雅區四維四路22號11樓之1
098法登他000116,3,台北縣板橋市四川路2段16巷10號3樓
098法登他000116,4,新竹市和平路142號2樓
098法登他000116,5,台南市東區東門路3段253號3樓
098法登他000116,6,桃園市復興路70號3樓
098法登他000116,7,苗栗市站前1號4樓
098法登他000116,8,嘉義市友愛路562號4樓
098法登他000116,9,高雄縣鳳山市光遠路406號2樓
098法登他000172,1,基隆市暖暖區興隆路14之3號
098法登他000230,1,台中市西區三民西路六一號
098法登他000245,1,台中市南屯區五權西路2段668號5樓
098法登他000245,2,高雄市苓雅區四維四路22號11樓之1
