登記案號,序號,分事務所地址
086法登他000007,1,高雄市新興區中山橫路四二號三樓
086法登他000007,2,台北縣新店市民權路五之二號
086法登他000007,3,台北市興隆路二段二二０巷十六號三樓
086法登他000101,1,台北縣永和市福和路二二五號二二七號一－四樓
086法登他000101,2,台北縣板橋市實踐路一三０號四樓及一三二號四樓
086法登他000101,3,台中市市府路九七號一－八樓
086法登他000101,4,台南市東寧路三八四號一－五樓
086法登他000101,5,嘉義市中山路四九八號一－四樓
086法登他000101,6,高雄市五福四路一０四號一－五樓
086法登他000101,7,屏東市民生路一一八號一－四樓
086法登他000101,8,花蓮市中山路四七五之三號一－四樓
086法登他000101,9,台中縣豐原市水源路五九五號一－四樓
086法登他000101,10,台北縣三重市重陽路四段一三Ｏ號四樓
086法登他000101,11,屏東市信義路二七二號一樓至三樓
086法登他000144,1,花蓮市菁華街十六號七樓
086法登他000144,2,台東市正氣北路二一五巷三號
086法登他000144,3,高雄市博愛一路三九一號十二樓
086法登他000144,4,台南市林森路一段一五八號六樓
086法登他000144,5,台中市五權路一之六七號十三樓
086法登他000144,6,南投縣埔里鎮覆金路二之一號
086法登他000144,7,新竹市經國路一段八三八巷二號四樓
086法登他000202,1,台北市文山區景興路五三巷四弄五號三樓四樓
086法登他000247,1,台北市四維路五二巷二四弄二之二號
086法登他000275,1,宜蘭市民權新路一之二號
086法登他000275,2,基隆市義一路二０六號五樓
086法登他000275,3,台北縣板橋市文聖街一九六巷一號四樓
086法登他000275,4,台北市光復北路九六號三樓
086法登他000275,5,桃園縣桃園市育樂街七一號
086法登他000275,6,新竹市西大路六四０號二樓
086法登他000275,7,新竹縣竹北市民權街二十九巷三十九號
086法登他000275,8,台中市三民路三段二０九巷二十五號
086法登他000275,9,彰化市中山路一段五四四號二樓
086法登他000275,10,嘉義市徐州六街三四號
086法登他000296,1,台中市南屯區五權西路二段六六八號五樓
086法登他000299,1,高雄市三民區博愛一路三六六號二十樓
086法登他000299,2,高雄縣大社鄉三奶村興工路五號
086法登他000338,1,"台北市敦化北路一三三號           南投市中興路七００號"
086法登他000338,2,"高雄市中正四路一八九號           彰化市卦山路二號"
086法登他000338,3,"基隆市獅球路八號                 雲林縣斗六市府前路五八號"
086法登他000338,4,"台中市力行路二六二之一號         嘉義市忠孝路三０七號"
086法登他000338,5,"台南市大學路西段六五號           台南縣新營市中正路二三號"
086法登他000338,6,"台北縣板橋市中正路四八號         高雄縣鳳山市中山東路十四號"
086法登他000338,7,"桃園市成功路二段七號             屏東市中華路八十之一號"
086法登他000338,8,"新竹縣竹北市竹北里和平街七二號   台東市博愛路四二五號"
086法登他000338,9,"苗栗市中正路三八二號             花蓮市公園路五三之一號"
086法登他000338,10,"台中縣豐原市中山路五０六號       宜蘭市渭水路一００之二號"
086法登他000349,1,台北市信義區林口街一八二號四樓
086法登他000356,1,花蓮市菁華街十六號七樓
086法登他000356,2,台東市正氣北路二一五巷三號
086法登他000356,3,高雄市博愛一路三九一號十二樓
086法登他000356,4,台南市林森路一段一五八號六樓
086法登他000356,5,台中市五權路一之六七號十三樓
086法登他000356,6,南投縣埔里鎮覆金路二之一號
086法登他000356,7,新竹市經國路一段八三八巷二號四樓
086法登他000358,1,台北縣新店市行政街十巷六至八號及十二巷四至六號
086法登他000359,1,高雄市中華一路六七號
086法登他000359,2,桃園縣中壢市環西路八三號
086法登他000411,1,台東市長沙街三０三巷一號
086法登他000412,1,新竹市科學園區路一二七巷二弄三號
086法登他000412,2,高雄市三民區德仁里自由一路二號十樓之八
086法登他000412,3,台中市太原路一段四五０號六樓
086法登他000425,1,高雄市中華一路六七號
086法登他000425,2,桃園縣中壢市環西路八三號
086法登他000431,1,台北縣永和市福和路二二五號二二七號一－四樓
086法登他000431,2,台北縣板橋市實踐路一三０號四樓及一三二號四樓
086法登他000431,3,台中市市府路九七號一－八樓
086法登他000431,4,台南市東寧路三八四號一－五樓
086法登他000431,5,嘉義市中山路四九八號一－四樓
086法登他000431,6,高雄市五福四路一０四號一－五樓
086法登他000431,7,屏東市民生路一一八號一－四樓
086法登他000431,8,花蓮市中山路四七五之三號一－四樓
086法登他000431,9,台中縣豐原市水源路五九五號一－四樓
086法登他000431,10,台北縣三重市重陽路四段一三Ｏ號四樓
086法登他000431,11,屏東市信義路二七二號一樓至三樓
086法登他000431,12,台南縣永康市中華路六六三號二樓
086法登他000440,1,基隆市暖暖區興隆路十四之三號
086法登他000443,1,基隆市中正路六一一號八樓Ａ室
086法登他000443,2,桃園縣民生路一四八號四樓
086法登他000443,3,新竹市南大路二七一號六樓
086法登他000443,4,苗栗市中正路八六三號六樓
086法登他000443,5,台中市三民路三段一四四號六樓之一
086法登他000443,6,台中縣豐原市東陽里福德巷廿六巷廿五
086法登他000443,7,彰化市中正路一段一四一號
086法登他000443,8,南投市營北路二四三號
086法登他000443,9,嘉義市中正路三六０號八樓
086法登他000443,10,台南市長榮路二段一五七號三樓
086法登他000588,1,高雄市中華一路六七號
086法登他000588,2,桃園縣中壢市環西路八三號
086法登他000588,3,新竹市博愛街廿八號
086法登他000621,1,台北市建國南路二段二三一號
086法登他000637,1,台中市三民路3段445號（台灣省委員會）
086法登他000637,2,台北市忠孝東路1段9號（台北市委員會）
086法登他000637,3,高雄市民生路二路39號（高雄市委員會）
086法登他000637,4,台北市忠孝東路5段293號3樓（國軍退除役人員黨部委員會）
086法登他000637,5,台北市仁愛路2段1號11樓（生產事業黨部委員會）
086法登他000637,6,台北市泉州街10號（交通事業黨部委員會）
086法登他000637,7,台北市仁愛路2段1號7樓（金融事業黨部委員會）
086法登他000637,8,台北市仁愛路2段1號8樓（新聞黨部委員會）
086法登他000637,9,台北市新生南路3段20號10樓（北區知識青年黨部）
086法登他000637,10,台中市德化街64號4樓（中區知識青年黨部）
086法登他000637,11,高雄市七賢三路247號6樓（南區知識青年黨部）
086法登他000637,12,台北縣板橋市文化路1段280號2樓（台北縣委員會）
086法登他000637,13,宜蘭市女中路27號（宜蘭縣委員會）
086法登他000637,14,桃園市縣府路332號5樓（桃園縣委員會）
086法登他000637,15,新竹縣竹北市縣政二路55號（新竹縣委員會）
086法登他000637,16,苗栗縣苗栗市府前路3號（苗栗縣委員會）
086法登他000637,17,台中縣豐原市安和路40號3樓（台中縣委員會）
086法登他000637,18,彰化縣彰化市三民路407號5樓（彰化縣委員會）
086法登他000637,19,南投縣南投市康壽里玉井街101號（南投縣委員會）
086法登他000637,20,雲林縣斗六市府前街62號（雲林縣委員會）
086法登他000637,21,嘉義縣朴子市祥和一路西段2號（嘉義縣委員會）
086法登他000637,22,台南縣新營市民治路34號（台南縣委員會）
086法登他000637,23,高雄縣鳳山市曹公路21號（高雄縣委員會）
086法登他000637,24,屏東縣屏東市桂林街38之2號（屏東縣委員會）
086法登他000637,25,台東縣台東市民族里博愛路430號（台東縣委員會）
086法登他000637,26,花蓮縣花蓮市公園路27號（花蓮縣委員會）
086法登他000637,27,基隆市義四路路10號（基隆市委員會）
086法登他000637,28,新竹市民富街42號（新竹市委員會）
086法登他000637,29,台中市大隆路40號（台中市委員會）
086法登他000637,30,嘉義市民國240號（嘉義市委員會）
086法登他000637,31,台南縣成功路457號11樓（台南市委員會）
086法登他000637,32,澎湖縣馬公市西文里102之8號（澎湖縣委員會）
086法登他000637,33,金門縣金城鎮民權路154號（金門縣委員會）
086法登他000637,34,連江縣南竿鄉中正路63號（連江縣委員會）
