登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
086法登他000001,1,2,吳永崑,253,0860103,0860103,0850103,5冊57頁,1,2,董事長,財團法人高雄縣私立博愛社會福利基金會,0800918,高雄縣鳳山市曹公路二十一號,以興辦社會福利慈善事業為宗旨。,捐助,高雄縣政府八十年九月十日八十府社福字第一三三二二二號,永久,6500000.00,1,0860103,0860123,0860123,,,,,,
086法登他000002,1,2,吳永崑,51,0860108,0860110,0860110,2冊25頁,1,9,董事長,財團法人私立東方工商專科學校,0541122,高雄縣湖內鄉湖內村東方路一一Ｏ號,以創辦私立東方工商專科學校並謀其發展為目的。,捐助,教育部中華民國五十四年十月二日台五四高字第一五三八Ｏ號,永久,753042108.10,1,0860110,0860115,0860115,,,,,,
086法登他000003,1,2,吳永崑,312,0860109,0860109,0860109,6冊105頁,1,2,董事長,財團法人高雄縣立林園中學教育發展基金會,0820615,高雄縣林園鄉林園北路四八一號,本會以提昇學校教育品質為宗旨,捐助及高雄縣政府補助,高雄縣政府中華民國八十二年六月八日(八二)府教社字第九四四二Ｏ號,永久,2835200.00,1,0860109,0870319,,,,,,,
086法登他000004,1,2,吳永崑,170,0860111,0860111,0850209,4冊64頁,1,2,羅傳進,財團法人私立和春工商專科學校,0760430,高雄縣旗山鎮旗文路一二五之八號,遵照國家教育政策暨現行教育法令之規定，並謀其健全發展。,捐助,教育部中華民國七十六年四月十四日,永久,581347275.00,1,0860114,0870319,,,,,,,
086法登他000005,1,2,吳永崑,341,0860110,0860110,0860110,7冊17頁,2,2,李文葭,財團法人高雄縣立灣內國民小學教育發展基金會,0830111,高雄縣仁武鄉灣內村仁心路三十一號,"本會以協助灣內國小改善環境、發展校務、獎勵教師進修、促進學生        敦品勵學為目的。",捐助及高雄縣政府補助,八十二年十二月十四日高雄縣政府八二府教字第二一二五四八號,永久,2000000.00,1,0860111,0860123,0860123,,,,,,
086法登他000006,1,2,吳永崑,89,0860113,0860118,0860118,3冊33頁,1,8,董事長,財團法人私立輔英醫事護理專科學校,0581226,高雄縣大寮鄉永芳村進學路一五一號,為配合政府培育醫事護理人才,捐助,教育部五十七年七月二十二日,永久,1237901585.00,1,0860118,0860125,0860125,,,,,,
086法登他000007,1,2,吳永崑,112,0860116,0860114,0860116,4冊7頁,2,7,董事長,財團法人高雄市吳氏宗祠,0630425,高雄市苓雅區福德一路七十三號四樓,保管財產及敦睦宗誼兼互助之精神、謀宗親之團結、舉辦祖先之祭祀及辦理社會公益慈善事業為宗旨。,捐助,高雄市政府中華民國六十一年三月七日,永久,25350000.00,1,0860116,0870319,,,,,,,
086法登他000008,1,2,吳永崑,270,0860115,0860115,0860116,5冊74頁,1,2,董事長,財團法人台灣省高雄縣燕巢鄉金山道院,0810529,高雄縣燕巢鄉金山路六號之一,本仁愛之精神，傳揚儒道教義及辦理社會公益慈善事業為目的。,捐助,高雄縣政府八十一年四月二十二日八一府民禮字第五二四八七號,永久,18379750.00,1,0860115,0860122,0860122,,,,,,
086法登他000009,1,2,吳永崑,213,0860120,0860120,0860121,5冊17頁,1,4,董事長,財團法人陸軍軍官學校校友基金會,0780727,高雄縣鳳山市黃埔三村七巷六號,溝通校友國是觀念，贊助母校教育建設，公益服務及回饋母校等活動以團結向心，擁護國家政策為目的。,捐助,教育部七十八年七月二十日,永久,2000000.00,1,0860120,0870319,,,,,,,
086法登他000010,1,2,吳永崑,337,0860121,0860121,0860121,7冊1頁,2,2,杜敏世,財團法人獎卿護理展望基金會護理之家,0821224,高雄市七賢二路三七一號、三六九號,"發展護理專業、設立護理機構、促進護理保健學術研究、增進全民健        康為宗旨。",捐助,八十二年十二月十六日行政院衛生署衛署醫字第八二Ｏ七八七Ｏ九號,永久,59083100.00,1,0860121,0870319,,,,,,,
