登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
086法登他000001,1,2,簡福助,168,0860107,0860122,0860127,8冊35頁,2,5,吳永平,財團法人基督教耕耘會,0820819,台北縣淡水鎮水源街二段二十六巷一號三樓,遵守聖經教訓、傳揚耶穌基督福音、從事教會復興為宗旨。,捐助,台北市政府士林區公所66.6.1士興民字第一五七一九號函,永久,59750000.00,1,0860122,0860224,0860224,,,,,,
086法登他000002,1,2,簡福助,116,0860108,0860108,0860109,6冊11頁,1,1,章民強,財團法人台北市聖道兒童基金會,0801021,台北市天母東路六之二號,本基督教博愛精神，支持與贊助聖道兒童之家暨社會上貧苦孤兒及不幸青少年，以收容、教育其至學業完成及輔導就業之慈善事業為宗旨。,捐助,台北市政府社會局80.9.26,永久,18604336.00,1,0860108,0860117,0860117,,"修正捐助章程第三、六條條文內容。 (業經本院八十五年度法字第二八
號裁定確定)",,,,
086法登他000003,1,2,簡福助,560294,0860110,0860110,0860111,2冊31頁,1,8,費敦禮,財團法人台灣基督教浸禮聖經會,0560407,台北市士林區中山北路五段一一０號,傳佈基督教聖經之非營利宗教教會，應促進教友間之聯合，使基督之純潔與正義傳諸人群及後裔，並辦理附屬慈善事業，不涉及政治性質，尊重本國憲法及律法之規定。,捐助,台灣省政府56.1.4府民(一)字第二七００號函,永久,6972153.00,1,0860110,0860117,0860117,,,,,,
086法登他000004,1,2,簡福助,229,0860110,0860110,0860111,11冊37頁,1,1,陳長文,財團法人歐洲在華學校發展文教基金會,0840414,台北市士林區文林路七三一號,"以協助居住在中華民國境內之外僑子女接受正規教育( 包括課外活動教育 )，增進中歐文化交流，進而促進中華民國與歐洲國家實質關係之長期發展為宗旨。",由香港商太古洋行有限公司捐助。,教育部83.12.27台(83)社字第七００八二號,永久,10000000.00,1,0860110,0860124,0860124,,,,,,
086法登他000005,1,2,簡福助,37,0860114,0860114,0860115,2冊15頁,2,2,羅俊男,財團法人台北市詠俊銀髮事業基金會,0770222,台北市北投區奇岩路一號,"為辦理銀髮( 老人 )事業為目的。",捐助,台北市政府社會局77.1.27北市社三字第三０五四號,永久,3005293.00,1,0860114,0860130,0860130,,,,,,
086法登他000006,1,2,簡福助,214,0860115,0860115,0860116,11冊7頁,2,2,陳燦堅,財團法人台灣省台北縣私立聖心女子高級中學教育發展基金會,0831129,台北縣八里鄉龍形路四十六之二號,以協助學校改善環境，發展校務及獎助品學兼優或家境清寒或代表學校參加政府機關舉辦之縣級以上比賽成績優異之學生為目的。,由陳燦堅先生等四十三人捐助,台北縣政府83.11.15八三北府教三字第三九九六一九號函,永久,2500000.00,1,0860115,0860201,0860201,,,,,,
086法登他000009,1,2,簡福助,630586,0860118,0860123,0860127,3冊21頁,,0,徐英發,財團法人台北市私立方濟高級中學,0630626,台北市內湖區成功路三段六十一號,以創辦台北市私立方濟中學並謀其發展為目的。,捐助,台北縣政府54.7.8北府教一字第六四五二五號令,永久,139008706.00,1,0860123,0860131,0860131,,,,,,
086法登他000010,1,2,簡福助,179,0860125,0860227,0860303,9冊17頁,2,2,瞿海源,財團法人紀念殷海光先生學術基金會,0821209,台北縣汐止鎮伯爵街十二巷六號四樓,"為紀念殷海光先生闡揚自由主義與民主制度的思想貢獻，鼓勵後來者        在學術文化領域繼續為自由的價值和民主的生活方式努力。",捐助,台北縣政府82.11.26八二北府教三字第四三五七七一號函,永久,4000000.00,1,0860227,0860322,0860322,,,,,,
086法登他000011,1,2,簡福助,152,0860127,0860128,0860128,8冊3頁,2,2,陳鴻智,財團法人東吳經濟系校友基金會,0820219,台北縣汐止鎮汐萬路一段二一八巷四號七樓,以服務系友，回饋母校為宗旨。,捐助,台北縣政府82.1.29,永久,2000000.00,1,0860128,0860305,0860305,,,,,,
086法登他000012,1,2,簡福助,490094,0860130,0860130,0860131,1冊43頁,,0,李幫助,財團法人臺灣基督教道生院,0490204,台北市北投區中和街錫安巷一一二號,發揚基督博愛精神，設置傳道人及信徒退修所，並以基督教神學培養傳道人才，在各地方建設教會，辦理教會公益慈善事業，榮神益人。,捐助,陽明山管理局改制台北市政府民政局四十九年一月十四日。,永久,52284589.00,1,0860130,0860214,0860214,,"修正捐助章程第七條條文內容。 (業經本院民事庭八十五年度法字第二四
  號裁定確定)",,,,
086法登他000013,1,2,簡福助,307,0860130,0860131,0860131,15冊33頁,,0,施正南,財團法人施合鄭民俗文化基金會,0690626,台北市西寧北路六二之三號三樓,復興中華文化，倡導固有民俗藝術之欣賞與研究。,捐助,"台北市政府教育局69.6.16 北市教四字第二二五六四號。",永久,141000000.00,1,0860131,0860211,0860211,,,,,,
