登記案號,序號,分事務所地址
050登000002,1,桃園縣中壢鎮後寮里
050登000007,1,台北市衡陽街132號（台北市支會）
050登000007,2,台南市府前路88號（台南市支會）
050登000007,3,新營台南縣議會內（台南縣支會）
050登000007,4,高雄市中一路225號（高雄市支會）
050登000007,5,台中市太平路24號（台中市支會）
050登000007,6,台中縣政府內（台中縣支會）
050登000007,7,基隆市信一路50號（基隆市支會）
050登000007,8,台北縣板橋鎮府中路32號（台北縣支會）
050登000007,9,高雄縣鳳山鎮光復路3號（高雄縣支會）
050登000007,10,桃園縣桃園鎮中華路6號（桃園縣支會）
050登000007,11,屏東縣議會內（屏東縣支會）
050登000007,12,宜蘭縣政府內（宜蘭縣支會）
050登000007,13,澎湖縣議會內（澎湖縣支會）
050登000007,14,嘉義縣政府內（嘉義縣支會）
050登000007,15,新竹縣政府社會課內（新竹縣支會）
050登000007,16,彰化縣政府民政局內（彰化縣支會）
050登000007,17,南投縣政府民政局內（南投縣支會）
050登000007,18,雲林縣政府民政局內（雲林縣支會）
050登000007,19,台東縣政府民政局內（台東縣支會）
050登000007,20,苗栗縣議會內（苗栗縣支會）
050登000007,21,花蓮縣花蓮市中華路82號（花蓮縣支會）
050登000007,22,台北縣士林鎮大南路26號（陽明山支會）
050登000016,1,台中市守法街尚勇巷1號
050登000023,1,新竹市南大路222號
050登000027,1,高雄市左營：中國石油公司高雄煉油廠職工福利委員會
050登000027,2,嘉義市民生路32號：中國石油股份有限公司嘉義溶劑廠職工福利委員會
050登000027,3,苗栗縣苗栗鎮中正路46號：中國石油股份有限公司台灣油礦探勘處職工福利委員會
050登000027,4,台北市中山北路2段113號4樓：中國石油股份有限公司總公司暨營業處職工福利委員會
