登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
062法登000012,1,1,謝怜聰,145,0620716,0620716,0620717,8冊3頁,,,林清油,財團法人台灣省苗栗縣私立興華高級工商職業學校,0620716,苗栗縣苑裡鎮南房里七五號之一,創辦私立興華高級工商職業學校，病謀其發展為目的,捐助,"台灣省政府教育廳   六十二年六月一日","永  久",4906257.00,1,0620716,0921224,,,,,,,
062法登000135,1,1,鄭忠仁,135,0620416,0620416,0620419,7冊43頁,,0,董事長,財團法人台灣省新竹縣私立世界高級工商職業學校,0620416,新竹縣新竹市光復路一四一之一號,"以創辦台灣省新竹市私立世界高級工業家事職業學校,並謀其發展",捐助及補助,六十二年二月九日台灣省政府教育廳,無限期,6463654.00,1,0620416,0921224,,,,,,,
062法登000136,1,1,鄭忠仁,136,0620425,0620425,0620428,7冊44頁,1,0,董事長,財團法人台灣省新竹縣私立新力高級工業家事,0620425,新竹縣竹東鎮東峰路一九五號,以創辦台灣省新竹縣私立新力高級工業家事職業學校並謀其發展,捐助,六十二年四月二日台灣省政府教育廳,無限期,47938150.00,1,0620425,0921224,,,,,,,
062法登000138,1,1,鄭忠仁,138,0620514,0620514,0620517,7冊46頁,,0,董事長,財團法人台灣省新竹市教會聚會所,0620514,新竹市仁愛街廿八巷五號,"本教以成立聚會,在各地傳揚基督福音引人歸主,辦理社會救濟教育事業為宗旨",捐助,六十二年五月五日新竹市政府,無限期,291683.00,1,0620514,0921224,,,,,,,
062法登000140,1,1,鄭忠仁,140,0620516,0620516,0620519,7冊48頁,,0,董事長,財團法人台灣省苗栗縣私立賢德高級工商職業,0620516,苗栗縣通霄鎮五北里七四之一號,創辦私立賢德高級工商職業學校並謀其發展,捐助,六十二年五月八日台灣省政府教育廳,無限期,12157645.00,1,0870325,0921224,,,,,,,
062法登000141,1,1,鄭忠仁,141,0821118,0821118,0821122,7冊49頁,1,0,董事長,財團法人台灣省苗栗縣私立仁德高級醫事職業學校,0821118,苗栗縣後龍鎮溪洲里仁德路一號,培養醫事人才為國家服務為社會謀福利,捐助,六十二年五月十一日台灣省政府教育廳,無限期,197354766.00,1,0821207,0921224,,,,,,,
062法登000147,1,1,鄭忠仁,147,0620907,0620907,0620910,8冊5頁,,0,董事長,財團法人工業技術研究院,0620907,新竹縣竹東鎮中興路四段一九五號,"承辦理化學、電子、材 料、礦業、金屬冶鍊、機械等之研究發展與服務事項以配合國家加速發展工業技術。",政府捐助,六十二年一月三十一日經濟部,永久,467966613.00,1,0620907,0921224,,,,,,,
062法登000148,1,1,鄭忠仁,148,0621003,0621003,0621006,8冊56頁,,0,董事長,財團法人苗栗縣郭振秋公財團,0621003,苗栗市維新里僑育街卅九號,以維持郭振秋公祭祀為目的,捐助,六十二年九月十日苗栗縣政府,永久,220347.00,1,0621003,0921224,,,,,,,
062法登000149,1,1,鄭忠仁,149,0621107,0621107,0621110,8冊57頁,,0,董事長,財團法人台灣省新竹縣私立無量壽圖書舘,0621107,新竹市民族路二四一巷一號,以復興中華文化增進國民智識、發揚佛教大乘精神，助成社會淳厚風俗為目的創立財團法人,捐助,六十二年九月二十五日新竹市政府,永久,2470000.00,1,0621107,0921224,,,,,,,
062法登000150,1,1,鄭忠仁,150,0621119,0621119,0621122,8冊58頁,,0,董事長,財團法人台灣省新竹縣私立力行高級中學,0621119,新竹縣香山鄉牛埔十一號,創辦私立力行高級中學並謀發展為目的,捐助,六十二年六月一日台灣省政府教育廳,永久,2950000.00,1,0621119,0921224,,,,,,,
