登記案號,序號,分事務所地址
097法登他000014,1,台南市南門路341號之4
097法登他000023,1,"台北市信義路3段162之 24號6樓"
097法登他000023,2,台中市工業區三十七路25號
097法登他000032,1,台南市東區裕農路457號
097法登他000032,2,台南市安平區建平15街207號
097法登他000056,1,高雄市左營區文學路585號
097法登他000060,1,高雄市前鎮區三多三路217號16樓
097法登他000107,1,台北市大安區光復南路574之1號7樓
097法登他000107,2,新竹縣竹北市光明六路259號
097法登他000147,1,"台北市信義路3段162之 24號6樓"
097法登他000147,2,台中市工業區三十七路25號
097法登他000149,1,高雄縣六龜鄉新寮村三民路81之6號
097法登他000208,1,"台北市信義路3段162之 24號6樓"
097法登他000208,2,台中市工業區三十七路25號
097法登財000008,1,高雄市左營區富國路185號11樓之3（分事務所負責人韓珮彤）
097法登財000009,1,高雄縣岡山鎮大仁北路36號4樓（分事務所負責人林照程）
