登記案號,序號,分事務所地址
095法登他000002,3,台北縣板橋市萬板路476號4樓　　　　　　　苗栗市民族路222號
095法登他000002,4,"台北市建國北路2段115號7樓　　 　　 　   　　嘉義市重慶路356號"
095法登他000002,5,高雄縣鳳山市光復路2段243號　　　　　　　宜蘭市民權新路1-2號
095法登他000002,7,"新竹縣竹北市成功六街149號　 　　　　    　　 屏東市瑞光路2段290號"
095法登他000002,10,"花蓮市國盛二街103號3樓之5　　 　　　　 　"
095法登他000002,14,"台中縣豐原市南陽路85號　　　 　　　 　　桃園市中平路102號15樓"
095法登他000002,15,"南投市中興路466巷6號15樓　　　　 　 　 　台南縣新營市民治東路29號"
095法登他000002,16,"雲林縣斗六市南京路426-1號 　　　　　　　金門縣金城鎮金山路5號"
095法登他000002,18,"嘉義縣太保市北港路2段509號　　　　 　　 澎湖縣馬公市朝陽路146號1樓"
095法登他000002,26,台南市中華西路1段137巷103號　　　　　　基隆市信義區信一路133號5樓之1
095法登他000002,30,新竹市中山路428號　　　　　　　　　　　台東市四維路1段381號
095法登他000002,32,"高雄市鼓山區龍水里中華一路2300號　　　 台中市五權西路1段257號9樓之1"
095法登他000002,33,彰化市中央路184號12樓之2
095法登他000011,1,高雄市鼓山區裕誠路1093號12樓
095法登他000057,1,高雄市鼓山區明華路251號8樓
095法登他000068,1,高雄縣內門鄉內南村大學路二００號
095法登他000071,1,台中市復興路四段二三一之一號三樓
095法登他000071,2,高雄市苓雅區自強三路七號七樓
095法登他000071,3,台北市南京東路五段一０八號四樓
095法登他000124,1,台北市北投區立德號123號（台北捐血中心）
095法登他000124,2,台南市永福路1段85號（台南捐血中心）
095法登他000124,3,基隆市信一路14號1樓（台北捐血中心基隆捐血站）
095法登他000124,5,新竹縣竹北市光明十一路215巷8號（新竹捐血中心）
095法登他000124,6,桃園市文康街61號（新竹捐血中心桃園捐血站）
095法登他000124,7,苗栗市為公路282號、292巷1號1樓、2樓（新竹捐血中心苗栗捐血站）
095法登他000124,8,台中市西屯區台中港路3段124-30號（台中捐血中心）
095法登他000124,9,彰化市中山路1段348號（台中捐血中心彰化捐血站）
095法登他000124,10,南投縣埔里鎮北環路222號（台中捐血中心埔里捐血站）
095法登他000124,11,花蓮市節約街13號（花蓮捐血中心）
095法登他000124,12,屏東市和平路71號（高雄捐血中心屏東捐血站）
095法登他000124,13,高雄市楠梓區高楠公路1837號（高雄捐血中心）
095法登他000124,14,雲林縣斗六市莊敬路300號（台南捐血中心雲林捐血站）
095法登他000124,15,宜蘭市擺厘路16-7號（花蓮捐血中心宜蘭捐血站）
095法登他000124,16,台北縣板橋市中山路1段50巷36號2樓之3、之4（台北捐血中心板橋捐血站）
095法登他000124,17,澎湖縣馬公市中山路62號（高雄捐血中心馬公捐血站）
095法登他000124,18,嘉義市博愛路1段488號（台南捐血中心嘉義捐血站）
095法登他000124,19,台東市傳廣路69巷11號（花蓮捐血中心台東捐血站）
095法登他000170,3,台北縣板橋市萬板路476號4樓　　　　　　　苗栗市民族路222號
095法登他000170,4,"台北市建國北路2段115號7樓　　 　　 　   　　嘉義市重慶路356號"
095法登他000170,5,高雄縣鳳山市光復路2段243號　　　　　　　宜蘭市民權新路1-2號
095法登他000170,7,"新竹縣竹北市成功六街149號　 　　　　    　　 屏東市瑞光路2段290號"
095法登他000170,10,"花蓮市國盛二街103號3樓之5　　 　　　　 　"
095法登他000170,14,"台中縣豐原市南陽路85號　　　 　　　 　　桃園市中平路102號15樓"
095法登他000170,15,"南投市中興路466巷6號15樓　　　　 　 　 　台南縣新營市民治東路29號"
095法登他000170,16,"雲林縣斗六市南京路426-1號 　　　　　　　金門縣金城鎮金山路5號"
095法登他000170,18,"嘉義縣太保市北港路2段509號　　　　 　　 澎湖縣馬公市朝陽路146號1樓"
095法登他000170,26,台南市中華西路1段137巷103號　　　　　　基隆市信義區信一路133號5樓之1
095法登他000170,30,新竹市中山路428號　　　　　　　　　　　台東市四維路1段381號
095法登他000170,32,"高雄市鼓山區龍水里中華一路2300號　　　 台中市五權西路1段257號9樓之1"
095法登他000170,33,彰化市中央路184號12樓之2
095法登他000190,1,台北市四維路52巷24弄2之2號
095法登他000272,1,新竹縣竹北市中華路117號
095法登他000272,3,台中市南屯區大進街393號2樓
095法登他000272,4,嘉義市新生路657號5樓之1
095法登他000272,6,台南縣永康市中華路10巷16號Ａ棟2樓
095法登他000272,7,高雄市三民區澄和路151號6樓之1
095法登他000272,8,屏東市豐年街63號
095法登他000277,1,台北市大安區信義路3段162號6樓
095法登他000304,1,高雄市左營區文學路585號
095法登他000312,1,高雄市前鎮區三多三路二一七號十六樓
095法登他000312,2,桃園縣中壢市元化路三五七號十樓
095法登他000317,1,高雄市小港區高坪卅二街20號
095法登他000317,2,台中市西區台中港路1段12號9樓
095法登他000317,3,宜蘭縣五結鄉錦眾村錦草路94之3號
095法登他000317,4,苗栗縣頭份鎮廣興里11鄰廣興224之5號
095法登他000330,1,基隆市暖暖區興隆路十四之三號
095法登他000337,1,花蓮市商校街二六二號七樓之一
095法登他000337,2,台東市正氣北路二一五巷三號
095法登他000337,3,高雄市博愛一路三九一號十二樓
095法登他000337,4,台南市林森路一段一五八號六樓
095法登他000337,5,台中市五權路一之六七號十三樓
095法登他000337,6,南投縣埔里鎮中心路四十九號
095法登他000337,7,新竹市和平路一四二號十二樓
095法登他000346,1,台北縣新店市行政街十巷六至八號及十二巷四至六號
095法登他000420,1,台北縣永和市中興街八十號
