登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
105法登他000001,1,2,林蕙鴻,337,1050104,1050123,1050123,8冊29頁,1,6,余錦屏,財團法人桃園市蘆竹區海湖國民小學文教基金會,0890113,桃園市蘆竹區海湖東路191巷15號,改善環境、發展校務、獎勵優良教師研究進修、獎勵學生參加競賽。,捐助,桃園縣政府中華民國88年11月24日88府教社字第254027號,永久,5160000.00,1,1050123,,,,,,,,
105法登他000002,2,2,林蕙鴻,598,1050104,1050203,1050203,13冊47頁,2,3,林信義,社團法人桃園市生命之歌關懷協會,0960518,桃園市大溪區介壽路1267巷55號,"本會為依法設立,非以營利為目的之社會團體,以輔導行為偏差之青少年及家庭婚姻諮商、啟迪人心、辦理社會公益等宗旨。",會費等,桃園縣政府中華民國96年4月16日府社行政字0960118994號,永久,0.00,1,1050203,,,,,,,,
105法登他000003,1,2,林蕙鴻,925,1050104,1050123,1050123,19冊99頁,2,2,鍾燕山,財團法人台灣省桃園縣祭祀公業鍾沐芳,1011203,桃園市中壢區大勇一街20號,為遵宗敬祖倫理美德，敦宗睦族，和衷共濟，團結合作之中華文化傳統精神，培育後裔，繁榮宗族，並維護善良風俗，安定社會為宗旨。以期發揚飲水思源，知恩圖報，敦親睦鄰，敬老尊賢之美德。,捐助,桃園縣政府中華民國101年11月20日府民宗字第1010284809號函,永久,20330437.00,1,1050123,,,,,,,,
105法登他000004,1,2,林蕙鴻,383,1050104,1050123,1050123,9冊17頁,2,6,李明宗,財團法人桃園市蘆竹區光明國民小學教育事務基金會,0900424,桃園市蘆竹區南昌路255號,協助桃園市蘆竹區光明國民小學改善環境、發展校務、獎勵優良教師、補助清寒學生、獎勵學生參加各項競賽及促進學生敦品勵學為目的。,捐助,桃園縣政府中華民國90年1月5日90府教社字第003061號,永久,2100000.00,1,1050123,,1050223,,,,,,
105法登他000005,1,2,林蕙鴻,436,1050104,1050123,1050123,10冊23頁,1,5,徐熙楷,財團法人桃園市立大成國民中學教育事務基金會,0911014,桃園市八德區忠勇街12號,本會以協助大成國民中學改善教學環境、發展校務、獎勵教師研究進修、發行教育性刊物、促進學生敦品勵學為目的。,捐助,桃園縣政府中華民國91年9月24日府教社字第0910200730號,永久,2000000.00,1,1050123,,1050203,,,,,,
105法登他000007,1,2,林蕙鴻,502,1050105,1050112,1050112,11冊55頁,1,4,王章益,財團法人桃園市私立寶貝潛能發展中心,0940204,桃園市桃園區新生路165號4樓,本中心以辦理社會福利慈善事業為宗旨，專事收托、教養、訓練身心障礙者為目的。,捐助,桃園縣政府中華民國94年1月27日府社障字第0940025845號函,永久,1000000.00,1,1050112,,,,,,,,
105法登他000008,1,2,林蕙鴻,30,1050105,1050115,1050115,1冊121頁,1,15,黃東榮,光啟學校財團法人,0940617,桃園市龜山區自由街40號,為達成為國育才，服務社會之目的，設立光啟學校財團法人。,捐助,台灣省政府教育廳中華民國60年8月21日教二字第64182號函,永久,941305981.00,1,1050115,,,,,,,,
105法登他000009,1,2,林蕙鴻,988,1050107,1050111,1050111,21冊25頁,1,2,林再錦,財團法人一貫道寶光建德天元基金會,1021125,桃園市中壢區環北路86號,以發揚中華文化，宣揚數千年來中華道統及一貫道傳道真義與宗旨，倡導倫理道德，匡正社會風俗暨推廣教育文化事業，提昇人的品質，並辦理慈善事業增進社會福祉，以利國利己為宗旨。,捐助,內政部中華民國102年10月30日台內民字第1020337582號函,永久,150300000.00,1,1050111,,,,,,,,
105法登他000010,1,2,林蕙鴻,174,1050107,1050111,1050111,4冊98頁,2,8,黃和興,財團法人和平禪寺文教基金會,0850503,桃園市大溪區美華里7鄰5之2號,(一)提撥教育金供學校之用。(二)奬勵教師研究進修。(三)發放奬學金。,捐助,"桃園縣政府中華民國85年3月26日 (85)府教社字第007566號",永久,2000000.00,1,1050111,,1050202,,,,,,
105法登他000011,1,2,林蕙鴻,373,1050107,1050111,1050111,8冊99頁,2,6,黃坤亮,財團法人桃園市蘆竹區大華國民小學教育事務基金會,0891228,桃園市蘆竹區大華街98號,以協助桃園市蘆竹區大華國民小學改善環境、發展校務、獎勵優良教師及研究進修、獎勵學生參加各項競賽活動、發行教育刊物，促進學生敦品勵學為目的。,捐助,桃園縣政府中華民國96年8月29日府教社字第0960289788號函,永久,2110000.00,1,1050111,,,,,,,,
105法登他000012,1,2,林蕙鴻,40,1050108,1050113,1050113,2冊1頁,2,15,羅時逢,桃園創新科技學校財團法人,0581016,桃園市中壢區中山東路3段414號,為遵照國家教育政策暨現行教育法令規定之目的，設立桃園創新科技學校財團法人。,捐助,教育部中華民國58年10月2日台（五八）專字第20363號許可設立,永久,2661179008.00,1,1050113,,,,,,,,
105法登他000013,1,2,林蕙鴻,427,1050111,1050111,1050111,10冊5頁,1,7,賴朝明,財團法人新生佛教基金會,0910717,桃園市龍潭區三坑村永昌路51巷5號,"一.當來佛為開示悟道眾生出現於世，以新生佛教說示大自然法則，為使眾生 能正確學習新生佛教，在生活上及工作上實踐應用以貢獻社會；並體認當來佛出世之緣由，為弘通正法、匡正世相、濟度眾生之目標協力奉獻。二．辦理社會、文化、教育、公益、慈善等事業。",捐助,內政部中華民國91年4月9日台內中民字第0910078548號函,永久,46071090.00,1,1050111,,,,,,,,
105法登他000014,1,2,林蕙鴻,236,1050113,1050114,1050114,6冊23頁,2,7,謝秀琴,財團法人桃園市私立真善美啟能發展中心,0870122,桃園市中壢區龍昌里1鄰龍川九街18號,辦理社會福利慈善事業。,捐助等,桃園縣政府中華民國87年1月16日87府社福字第009636號,永久,16145326.00,1,1050114,,,,變更章程。,,,,
105法登他000015,1,2,林蕙鴻,22,1050113,1050125,1050125,1冊83頁,1,14,張建隆,財團法人桃園縣大興高級中學,0650528,桃園市大園區永興路142號,為培育國家有品的健全公民，設立財團法人桃園縣大興高級中學。,捐助,台灣省政府教育廳中華民國61年8月4日教三字第08123號函,永久,405915919.00,1,1050125,,,,,,,,
105法登他000016,1,2,林蕙鴻,29,1050113,1050126,1050126,1冊109頁,1,13,朱仁才,財團法人台灣省桃園縣私立永平高級工商職業學校,0651018,桃園市楊梅區埔心永平路480號,本財團以辦理私立永平高級工商職業學校並謀其發展為目的。,捐助,台灣省政府教育廳中華民國60年8月12日核准立案,永久,795668821.00,1,1050126,,,,,,,,
105法登他000017,2,2,林蕙鴻,166,1050114,1050123,1050123,4冊82頁,2,17,袁維政,社團法人桃園市生命線協會,0841129,桃園市桃園區大興西路2段61號13樓,本會係以公益目的之非營利社會團體，以愛社會、愛同胞之心，對社會中絕望而企圖自殺的人，給予勇氣，並以有效的行動，協助心靈創傷的人，重獲新生，重燃生命之火為宗旨。,捐助,桃園縣政府中華民國80年10月23日桃社政字893號,永久,4000000.00,1,1050123,,1050202,,,,,,
105法登他000018,1,2,林蕙鴻,39,1050115,1050123,1050123,1冊139頁,1,14,馬世澤,萬能學校財團法人,0610327,桃園市中壢區萬能路1號,以創辦萬能科技大學並謀其發展為目的。,捐助,教育部中華民國60年10月13日台（六十）專23728號函,永久,3579643128.00,1,1050123,,1050224,,,,,,
105法登他000019,1,2,林蕙鴻,230,1050115,1050117,1050117,6冊11頁,1,7,王信夫,財團法人桃園市蘆竹區錦興國民小學文教基金會,0870109,桃園市蘆竹區南竹路一段100號（錦興國民小學）,以協助錦興國民小學改善環境，發展校務、奬勵優良教師及研究進修，奬勵學生參加各項競賽，促進學生敦品勵學為目的。,捐助,桃園縣政府中華民國86年11月28日府教社字第二三五一四一號函,永久,3600000.00,1,1050117,,1050128,,,,,,
105法登他000020,1,2,林蕙鴻,18,1050115,1050117,1050117,1冊67頁,1,15,陳烱松,財團法人農業工程研究中心,0601212,桃園市中壢區中園路196之1號,辦理工程技術應用於農業與漁業、環境生態、科學發展、應用服務及農村之農業工程技術研究與服務。,捐助,經濟部中華民國59年5月14日核准設立,永久,370410445.00,1,1050117,,,,變更章程。,,,,
105法登他000021,2,2,林蕙鴻,667,1050118,1050218,1050218,14冊85頁,2,6,胡黃德,社團法人桃園市基督福音教育協會,0970801,桃園市中壢區新中二街59-1號1樓,"本神愛世人之精神,傳揚基督教義並辦理社會服務及教育,以營建身心靈之改造及塑造美好人生.",會費等,桃園縣政府中華民國92年8月7日府社行字第0920156565號,永久,0.00,1,1050218,,,,,,,,
105法登他000022,1,2,林蕙鴻,178,1050118,1050406,1050406,5冊7頁,2,9,楊榮壽,財團法人桃園市少年友愛文教基金會,0850708,桃園市桃園區信光路72號,以輔導桃園市犯罪少年暨研究少年犯罪問題為宗旨。,捐助,桃園縣政府中華民國85年7月1日八五府教字第089857號函,永久,3000000.00,1,1050406,,1050421,,捐助章程變更等,,,,
105法登他000023,1,2,林蕙鴻,910,1050119,1050217,1050217,19冊69頁,1,1,周清波,財團法人桃園市遵謙教育基金會,1010918,桃園市楊梅區幼一路9號,以發揮大愛，人飢己飢之仁愛精神為宗旨。,捐助,桃園縣政府中華民國101年7月26日府教終字第1010174408號函,永久,7000000.00,1,1050217,,,,捐助章程變更,,,,
105法登他000024,2,2,林蕙鴻,1010,1050119,1050203,1050203,21冊69頁,1,1,梁坤見,社團法人桃園市梁登秀公宗族宗親會,1030312,桃園市楊梅區中山南路959巷135號,本會為依法設立，非以營利為目的之社會團體，以傳承登秀公開荒拓地的精神，為遵宗敬祖倫理美德，並以敦宗睦族和衷共濟，團結合作之中華文化精神，促進宗族團結，加強宗族間互助合作聯絡感情，並維護社會善良風俗，安定社會為宗旨，以其發揚飲水思源，敦親睦鄰、敬老尊賢之美德。,會費等。,桃園縣政府中華民國103年1月14日府社發字第1030006226號函,永久,0.00,1,1050203,,,,,,,,
105法登他000025,1,2,林蕙鴻,579,1050120,1050201,1050201,13冊9頁,2,6,劉邦秋,財團法人桃園市中壢區大崙國民小學教育事務基金會,0951016,桃園市中壢區崇德路139號,以公益性教育事務為宗旨,捐助等,桃園縣政府中華民國95年7月27日府教社字第0950209715號,永久,2900000.00,1,1050201,,,,,,,,
