登記案號,序號,分事務所地址,網站連結
101法登他000082,1,新竹縣竹北市中華路117號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/AEhpXKwUQLSOnmqX4xj1wd5U_owtT0Uv_UIzT1DnOM3eW_ikDOjsGxv2BjBW
101法登他000082,3,台中市南屯區大進街393號2樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/hjTo2GsEH37v35XTw5CaNAobX83VYMM5kPh1WIHlzURQVjShzPuKRcMenYKb
101法登他000082,4,嘉義市新生路657號5樓之1,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Y5Gf9Frp7lfU1_-mFdB8rHoCEct8065WoGtO92Q0VahuGhWV-A5g1AU1Bf9a
101法登他000082,7,高雄市三民區澄和路151號6樓之1,https://aomp109.judicial.gov.tw/judbp/whd6k/q/6crZ43HSmo5W0Q25x3z6NpcAYxAoeaQVQe9VaxLm2ioyT14fgJiPwp-tbYEz
101法登他000082,10,台北市信義區松隆路102號3樓之2,https://aomp109.judicial.gov.tw/judbp/whd6k/q/vXJVTCJqQ8beshibMCgU5rzVyoXyh_V-W2Fa9dgKqC_SpdGRTsOPolnqcnUH
101法登他000092,1,花蓮市商校街二六二號七樓之一,https://aomp109.judicial.gov.tw/judbp/whd6k/q/mq4qxmN674N37bU2T8MSvv8DsbGEl4qPfy85D47goG8FwmjCySqC1JvCF9n7
101法登他000092,2,台東市正氣北路二一五巷三號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/5tzG2Hus0EjapB0eXGdiUAxdogV1NW4MvEpJE8A6_hVkXpbfHFkp7b4hWVye
101法登他000092,3,高雄市博愛一路三九一號十二樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/BMAFqK3nqCu06xIuKR8h9lXD8VsbOascLFDGf1IDgWRi0t1dFgeKibyBY3g4
101法登他000092,4,台南市林森路一段一五八號六樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/hriUYcTEaCWSlBEiimC45JIJPcPiaIrs4XvH-bagdhoTIUXKCbrxfGK9pJbJ
101法登他000092,5,台中市五權路一之六七號十三樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/QXZM1grK1nym0H_i_-147GEjx6MOv_9VSps35R1NlJT4ICVvunqPB1KyunWk
101法登他000092,6,南投縣埔里鎮中心路四十九號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/a3oh4bGhWuhqKhg_T0gTQTXJ4u1CIW0dUtPXO_e7Igtj8Q88iLR3YI9hKoM7
101法登他000092,7,新竹市和平路一四二號十二樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/dqCPGnuFfUhauRucOPk3CMgi1WoHHAttBnyB1_UPrEB5d_qM5GXkCdgbKoEh
101法登他000095,1,台北市中正區愛國東路100號13樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/k6bXwcK_3_emXnoIDhjCQFoXuS-MjTP5HaUpQIGoctk-yfQKfB7zjJ0T5845
101法登他000165,1,台中市南屯區五權西路2段668號5樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/INmfvghl5KlfgV5Fe6a9ktk-0j2FrBhmGk9d8khU2ZOGy4P1USSQrRL10-zf
101法登他000165,2,高雄市苓雅區四維四路22號11樓之1,https://aomp109.judicial.gov.tw/judbp/whd6k/q/HQ2o_6y_ZBOzpALh6snf9o1mguT5XgqFl5vMF4498MvgKNXj1OznW4k-CgjR
101法登他000165,3,台北縣板橋市四川路2段16巷10號3樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/d_G40YB_Q9ViTJSDIRaU-DGRstyixLOLffVOdpROLuaZ2ihCh-zQkx8zwrRH
101法登他000165,4,新竹市和平路142號2樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/CJ5Ep6lmSn9TMJ40KluncDXYDD5JKk2IGhTlKYav0PeQY1mHjy4rwbYobqYA
101法登他000165,5,台南市東區東門路3段253號3樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/ey_ShRbtzHCDsWiWaxr5mQRDq8p6f1QFUc7y98B3Du6AX3l5YclEcS0T_HkQ
101法登他000165,6,桃園市復興路70號3樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/73DcrqlouK0gavDEOdcjfYt07K-iQr1HND0UH_mU772jCWya5sh7neVChi0w
101法登他000165,7,苗栗市站前1號4樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/AUKRmBmPhbkGQqKc-YyyxH4vY4pCiqPQAwj8xwk7aiAikROzluj1iASz5kEq
101法登他000165,8,嘉義市友愛路562號4樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/fx7wa9qqqvDyB6IaZWku6tHJJWse-9ys9RTo8FgkS1fJjE6XQv34TWCp1CIy
101法登他000165,9,高雄縣鳳山市光遠路406號2樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/08hJeTIUfF5nO8Eer-52vVfJ1EADaF7rWeUB3cocxH8U0bqUmK4AJhKtlqWW
101法登他000165,10,宜蘭縣羅東鎮民族路32號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/iTeBTQY-Le1bn8yqpiDOSeIBtxdvfDS7n0wWgq_gZtMyI9m8UbHXyyT167rV
101法登他000165,11,花蓮縣花蓮市中興路243號5樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/46blrvKRQiwoMbmlSwo3baKlT3WWPNZAi5NxHfHMtqbUk10l7GYNM1E_ry1E
101法登他000165,12,基隆市孝二路39號4樓之2,https://aomp109.judicial.gov.tw/judbp/whd6k/q/NTYntCeLpvs6qvUMD-aaYmx9e7_M3SfLyy0cY8NatoSwLUAv5tFO_6lNF9LT
101法登他000165,13,南投縣草屯鎮登輝路335號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/tTx9Tecfpb7pLpAE_wErCMK7eT0qewpIhaymtszWaiKdVXVwnKACd5RVgWMR
101法登他000165,14,屏東縣屏東市光復路114之1號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/YG3ygRYyhseDvXUbldYW0xzw6_r3nKxTW3nWUwAnqDr81PkPPeL7n5nWLf6n
101法登他000186,1,台北市四維路52巷24弄2之2號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/R02M8tO_edWIR379zM7-ieNm_JqXF6SfP3aO65X-n_q1iVtEJT8mZ_eJ6L4=
101法登他000209,1,基隆市暖暖區興隆路14之3號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/N4JcoROL51GwojcrA7W_R4cHs7S8P9E90NqAfWWj4BP2l6dWSIDBax-mcRNh
101法登他000229,1,台東市中興路110號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/TscnZ0_wI624KQ0oPF9smuJ15yhzDOYWokTshOnBZS9DclQY1MVNcy3A_U0K
101法登他000229,2,台北市大安區羅斯福路2段75號8樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/OAjlOxolm1HBDQX5XhRcrcG45lNwKOciw5pN1xHqvv3tBj1xXvHhsMf7UVL3
101法登他000229,3,新北市新店區順安街2號B1,https://aomp109.judicial.gov.tw/judbp/whd6k/q/yqI4yaXZIhAJ5ZM7feIbZyAOi7huuvynkM5Q43jYL4hWSl-VZZLfco3rpAYB
101法登他000229,4,桃園縣龍潭鄉百年一街2巷10號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/HmGpHK3Yzt6Oc5Gpj6lgXS3xZLgldtNhc0O-AE22nUxTQcUF5e_S9YqZmi4j
101法登他000229,5,苗栗市中正路113號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/W6MXSoHdwu5KXOSmQURLsR0mNtn4p9hxuaLMZors4BTpkK_uuyRwtHIOTwQ5
101法登他000229,6,台中市西區三民路1段174號11樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/p-GzwH7xXdmMyAjCXmH-zfZ1JuVtQnqMXNbgFseVvG_SDGKC5jYg3uY-ruFt
101法登他000229,7,台南市永康區復興路303號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/jZOHjYWZA9htPXgFjD5YMjNJc5jktjsMbQvS0jHE01vMFLwA2uLBKfkuldw-
101法登他000229,8,高雄市苓雅區凱旋一路3號3樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/cAT7xhGModu3tER51-0PQq3co76X4KuBzmGsgJYRIa_rLrJ4kAN5Ts09SQH3
101法登他000229,9,屏東縣鹽埔鄉新圍村德二街42號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/fDZs-gNMnOfm5zPm1QjKMpRrx_TdR-4_yf6OoPo_E0FK916sTnqtD7mDdHPA
101法登他000240,1,高雄縣內門鄉內南村大學路二００號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/6k1UQFRPcebT-aG51xyX4s1fmqy7m5sAcqoPAVh8c0cMi4vn8K5KHZtKbw==
101法登他000270,1,台北市中山區松江路17號2樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/lUNPFIew-aO30z-zF--UoGE03cWVWOvCDEqklwJ0cEUr6KZTloDwQfI93jZO
101法登他000277,34,台北市中山區建國北路2段115號7樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/e-JJM8weSJvEh4zuES2oWyId9CM2pDWJRDMtXYFQZo9NZ4_FoaxTCnqexOg=
101法登他000277,35,高雄市鼓山區龍水里中華一路2300號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/EzbYX3C-0AW-XI2mfHJvb767JWUr4q968LqN-TBGJtz8BnqOKWDSkY-81LY=
101法登他000277,36,新北市板橋區萬板路476號4樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/qmlxV9PlAOWgjGjc9zb_Ty_hsJbuTiZf2kjPsiT5s8dzuyBFUnikFxNN5PM=
101法登他000277,37,宜蘭縣宜蘭市民權新路1-2號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/c0novJFsPi3yL4SeCbFlD1RvGhrNWGHutL70ti-SnJsTfS5fNLyCdGSs7QQ=
101法登他000277,38,桃園縣桃園市中平路102號15樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/V8oAcLxfgC_sAemIF7adT9BW7i4V0LDaYql50cjZT2RKm12UabTZ89k1kEs=
101法登他000277,39,新竹縣竹北市成功六街163號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/4Yiwg0dZFhDe2cZ3Vq9xXOt3NI0tRMKadiAdPIBaFEdY8TFhWKiq9ph5soU=
