登記案號,序號,分事務所地址
101法登他000026,1,台北市內湖區東湖路１４１之１號３樓
101法登他000056,1,屏東縣內埔鄉建興新村１００號
101法登他000070,1,台南市東區裕農路５１１號
101法登他000080,1,台南市仁和路七十四號
101法登他000093,1,台南市安南區安和路６段１２６巷５６號
101法登他000153,1,台南市東區裕農路５１１號
101法登他000181,1,台南市新營區武昌街１１之２號
101法登他000220,1,台南市仁和路七十四號
101法登他000236,1,"台南市勝利路８５號２樓C 室"
101法登他000237,2,台南市新營區東興六街49號（台南北區家庭扶助中心）
101法登他000238,2,台南市中西區西賢一街139號（台南市南區家扶中心）
101法登他000271,1,高雄市凱旋三路八七五號
101法登他000285,1,台南市安平區永華三街３３３號６樓之１
101法登財000002,1,台南市新營區武昌街１１之２號
101法登財000003,1,台南市永康區復興路３０３號
101法登財000006,1,台南市安平區永華三街３３３號６樓之１
