登記案號,序號,分事務所地址,網站連結
101法登財000001,1,台東市中興路110號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Sa0CLs26D7rMdbHDil6rTRpkC_mFYGtggBDw89oRKczpqEZXK3soDH3BaxY=
101法登財000001,2,台北市大安區羅斯福路二段75號八樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/c2b48XdGrKqiHAkdv-GtrW30ycr0huxA9qoMRw5EiQKGLBSgUseK3zofT30=
101法登財000001,3,新北市新店區順安街2號Ｂ1,https://aomp109.judicial.gov.tw/judbp/whd6k/q/UaEt08lHHAkLXC1ZZ-DYLjkBbQEsVPx0_zLneYvanLInHll_ef5cYhsmN7A=
101法登財000001,4,桃園縣龍潭鄉百年一街2巷10號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/pQA4Iq3MJAbu53L7IJ5fmd8v4Aulc2sBK_VPZBZYRof4brOHwiIFmMlPaGQ=
101法登財000001,5,苗栗縣苗栗市中正路113號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/D7x2pSC2MqgEkcs8B2NCNlB3F8A_1B4AdFjQqCwp9kT0HN076hFswI9CvXg=
101法登財000001,6,台中市西區三民路一段174號十一樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/eu8MuiXtviTButN3zpWGQ-zFzQRX5e61dIhq_O3F9sytV_I2Ta0YK8tK-Ng=
101法登財000001,7,台南市永康區復興路303號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/bYmz6mLvuCM9pvHVXeOcDX2Ljlzb9y3YbOp9x7dlC_dR3c4wpw3rJJWAYmo=
101法登財000001,8,高雄市苓雅區凱旋一路3號三樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/5F7ylH7fsMgy1gyWpXzhtJuKEYTnH_3Wpm1G3r9skGdbNThQWYFxxHgr3uw=
101法登財000001,9,屏東縣鹽埔鄉新圍村德二街42號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Y0zQ7tfC971BoPN-4WquCLxnYw2LTJ1xATfhqYkiV_hG18pJODWTDXnMr9A=
101法登財000002,1,台北市長安東路一段9號六樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/7uY1n2K8FxYXmt6Ai3YzPwckjOtg2zZ-3HPYirkZZxyM58AYAqccZCmojX0=
