登記案號,序號,分事務所地址,網站連結
101法登他000025,1,高雄市左營區富國路185號16樓之1（分事務所負責人韓珮彤）,https://aomp109.judicial.gov.tw/judbp/whd6k/q/zG4jZPFal_2OBDHwU30jwR-1S-LQmpwA2z6VA78y_oAEp-xwsVI_k1JjY6lx
101法登他000034,1,高雄市苓雅區中山二路412號3樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/26m7feuBk6IFI-Plhk2IufVBJ4kmqiLil5Z5H_ai4V4ta1a788TUNS4Lqcw=
101法登他000093,1,高雄市三民區博愛一路372號5樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/6r5U4XpAOZhn2h1-nFU9VO-I1AqC44ALSTMqJb3advaQ8QCYar1uS6rXs80=
101法登他000135,1,高雄市新興區中正三路28號9樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/OuDgpvJc4Z9BrK8aoWd1HHBli_MPG8NkhEHEoqqSmWe4oNjqQOK6BLtDoOs=
101法登他000149,1,新北市汐止區東勢街215巷30弄12號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/8CMkzoZR0QMclrD7_Nh8iM_tCX1UOyvABuDkUSJQKS_VqL30QbuiybKPpBA=
101法登他000157,1,台南市東區裕農路457號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/GwhBKxDjSeHuv1W51PBGDh1kfCBVxL0AcdCGkYOvgoKXb70e9rVSqzxvOK4=
101法登他000157,2,台南市安平區建平15街207號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/prGjf3JbbZ6vdS00X1khGUtO1kSHBGPmyXkhpkuqMBSsVH_1QXIKl8PF6uE=
101法登他000189,1,台北市信義區信義路四段415號6樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/cDtTaBIBPzLQ24A77LFjkBt2siPttmNIDACdfYJTGpKTJL2O1OYJroNtVCU=
101法登他000189,2,新竹縣竹北市光明九路157號3樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/WDpU-CNlDvSydgpzt0tY9098blAKqnAWU0sTrkixRIMRVACmTF1ROCGv5wU=
101法登他000250,1,高雄市左營區文學路585號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/CC-_YsH1T9-kBDkjPRDhawBPCRx6J4bCWVtwgHVUlBsAv74O9tf32B0j5-o=
101法登他000258,1,高雄市三民區博愛一路372號5樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/FkybnCvF0Rifca8WbleeVCLcuYWaD31X3JKkHO7Erj2w6FqoFFBCPGgBGA0=
101法登他000342,1,高雄市三民區九如二路583號11樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/cyvzDo4xQpmUOviUooCDYCoVUczIoS-SovCv9nE8YxlzBhQRNCADhBz93h8=
101法登他000351,1,高雄市左營區富國路185號16樓之1（分事務所負責人韓珮彤）,https://aomp109.judicial.gov.tw/judbp/whd6k/q/8O8M-zFO6zglB2XM7LF5TNnBNqtHurDS3G3YKwe9zTWkr-MWx_HP1lzS3EYw
101法登財000002,1,高雄市苓雅區凱旋一路3號3樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/EAVYsoDKjZTB1_DvlZLfrMmRT-3vllbmpIdLYV9bKdx0zFsickWmRgIybuMO
