登記案號,序號,職稱,姓名,網站連結
059法登000008,1,董事長,廖承寶,https://aomp109.judicial.gov.tw/judbp/whd6k/q/DYms4q3aWcvPT05pBG0QHHEd2sa_9YXnurcxE8mAhJ2cofKt8yyTcA==
059法登000008,2,常務董事,張廖貴興,https://aomp109.judicial.gov.tw/judbp/whd6k/q/s1eFbMcmDqRBPSsHUO1of24aD8b-1JhBolf_JMBnv49sAv2b9s8s3Q==
059法登000008,3,常務董事,廖榮旋,https://aomp109.judicial.gov.tw/judbp/whd6k/q/8V0oeJjnA4SKvYMluAFY5zfm9vujn6FABS2Bgi04IApufapBOfcx5g==
059法登000008,4,"董  事",廖天選,https://aomp109.judicial.gov.tw/judbp/whd6k/q/1lSxIA5h6oumefGZflwipMKP39c93x-JnNORZqMABCUInYEUF_VQcA==
059法登000008,5,"董  事",廖大發,https://aomp109.judicial.gov.tw/judbp/whd6k/q/mQNliePxytykRkb4NeIEOh8nWrVNnSyXv84r5cYh9qiWgotDU4QpdQ==
059法登000008,6,"董  事",廖椿乾,https://aomp109.judicial.gov.tw/judbp/whd6k/q/-4CRLezt4R-FoMZ8dKdb7Sw48dX9bClYaDjNhfvAe336M4wnzyNanw==
059法登000008,7,"董  事",廖金雄,https://aomp109.judicial.gov.tw/judbp/whd6k/q/pXiGQP85sUovopg6Q6XPNjKPigwt1MGxe9EfgA58hkPr5MfULaorbA==
059法登000008,8,"董  事",廖春火,https://aomp109.judicial.gov.tw/judbp/whd6k/q/KTWot-amKK2Veep1k60J-_l1BSqJYnFocA-5RzB-RlpcRMW11hRcDg==
059法登000008,9,"董  事",張廖貴清,https://aomp109.judicial.gov.tw/judbp/whd6k/q/NY7_smsKd126DcbChLJ26aSVINR6Lt5U4CX2a9xoBbXfPfgiWVNPPQ==
059法登000008,10,常務監事,廖志鎰,https://aomp109.judicial.gov.tw/judbp/whd6k/q/cy--Yzi37bytcAyiTvXhDbHmkdpRjqKWXTZAux2bIbSj1F1vqwejwQ==
059法登000008,11,"監  事",廖憲成,https://aomp109.judicial.gov.tw/judbp/whd6k/q/vPNLFjpe_cBnJEbC52qmzVhCAzgMJijDjb8cVugN55FT5xGUPBVx5Q==
059法登000008,12,"監  事",張久雄,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Bco2XfgR9pwqRBjzmxR6AzOLavdTtnnhhCQQ1Fp_Ry0fB02YvJo-Hw==
059法登000014,1,董事長,廖承寶,https://aomp109.judicial.gov.tw/judbp/whd6k/q/qbkKa_3FTexmCeog1_7jzEjZgMdKJKCZa-CoPm86h8yxrZyXS1Oilqk=
059法登000014,2,常務董事,廖天明,https://aomp109.judicial.gov.tw/judbp/whd6k/q/N7CD_KaWLyhUs5qPrpRZAYSVze4HykE7TW3a0A56Hw7bytenIIxotls=
059法登000014,3,常務董事,廖承緯,https://aomp109.judicial.gov.tw/judbp/whd6k/q/JTT5KKrF5s0tTmvie0rZSaZGVFS18iqwc9BwSCQh1y7anwz9nA05Kko=
059法登000014,4,"董  事",廖承原,https://aomp109.judicial.gov.tw/judbp/whd6k/q/jEJnwOl9KthQNwmXSIcPBOyHltJv1-ySBu8dDRFYFz_xvM_TCYo_q8A=
059法登000014,5,"董  事",廖承彬,https://aomp109.judicial.gov.tw/judbp/whd6k/q/zUlGBYC6Jc85RrXME1nCHv891OUA-4EBrSLxrAngBTdzQ1uq2xV9QxY=
059法登000014,6,"董  事",廖承根,https://aomp109.judicial.gov.tw/judbp/whd6k/q/6xI5zCCZHtln4cdh3SvXdT1U07yn_Dpws8qxkETitKws7M4UXiAxRNg=
059法登000014,7,"董  事",廖天柱,https://aomp109.judicial.gov.tw/judbp/whd6k/q/fZ5ccU1nO70meYhl8CDZcmh1TgeVstxzpSz66jUaKg3Obl3d41-xC1w=
059法登000017,1,董事長,賴木生,https://aomp109.judicial.gov.tw/judbp/whd6k/q/kMpyERSz77ueuo8Oikmxy42v27AZaBkSDrRFY0Smb1i67xftlzpK4Ow=
059法登000017,2,常務董事,林金峰,https://aomp109.judicial.gov.tw/judbp/whd6k/q/GGnNemxTvINb90_wb2iytjkZjYErb89DW9KVtByjsI4lqkw4FRWOFTA=
059法登000017,3,常務董事,江焜傑,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Qt8xOtBrZUfw2hxhHTxZv3Xt8wogZnMsSyn4LlidUukLO6WkqrrSloQ=
059法登000017,4,常務董事,廖雨霖,https://aomp109.judicial.gov.tw/judbp/whd6k/q/gY-oqI1aH9OQng-0-XbSaZ70S-UiNAcwH0td7VrHqlpEUQX5h8YQcww=
059法登000017,5,常務董事,林張不愛,https://aomp109.judicial.gov.tw/judbp/whd6k/q/4lG2ALk84C0X0uOWmRL2079MrHntggXvpknRmKjLMYGqlUXwuovhHYc=
059法登000017,6,"董  事",林博厚,https://aomp109.judicial.gov.tw/judbp/whd6k/q/VM7EDFzl6jpIr1R5Fb5QhhbYHEiOurAvZVXattX7rGu1Ggc4CTt-uAQ=
059法登000017,7,"董  事",廖德惠,https://aomp109.judicial.gov.tw/judbp/whd6k/q/3K6qLXSVS6WjxOicF2b8Nhal49iESK68iZhhADbtTRW96usQhcFrI1w=
059法登000017,8,"董  事",張水生,https://aomp109.judicial.gov.tw/judbp/whd6k/q/l5yPapta_IvMdtR8fCOc7KQoQSdjuAjpbjeQiEs4Z_s7JJifJ9eQTjg=
059法登000017,9,"董  事",陳天來,https://aomp109.judicial.gov.tw/judbp/whd6k/q/BTHSskYr4SFDHwR7Rp54fU2PpJeieXZuXnKwgG9Z6p7JxGeNJDOoiCY=
059法登000017,10,"董  事",王江木,https://aomp109.judicial.gov.tw/judbp/whd6k/q/4j6vRkQNS92gT3786JZcQXBiTPW-D6iYDCeBOASFbs3WPM88XE27DP4=
059法登000017,11,"董  事",錢清溪,https://aomp109.judicial.gov.tw/judbp/whd6k/q/JUDgWYEcEm-Rv0Orn1ItPn2HvL-3UeU-t_EoS6kfj4xdXwzUdyshK6A=
059法登000017,12,"董  事",紀吳緣,https://aomp109.judicial.gov.tw/judbp/whd6k/q/k4oOGkX2wta8nGLz5Yvs8CuMryfM2Mw5TAYdcu5xk1IolkXflJEvKII=
059法登000017,13,"董  事","洪  印",https://aomp109.judicial.gov.tw/judbp/whd6k/q/1cLLwtn4lcYMPVmqeavniJkWpuuMEmXUQZD2v87B4O2wY2MvpD0fHeU=
059法登000017,14,"董  事",蒲松連,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Jlg88B0509xfj30Q4loRWVj-a36TYIMEsqNLzi7nA9s6vW4fr3EO4ms=
059法登000017,15,"董  事",黃意鳳,https://aomp109.judicial.gov.tw/judbp/whd6k/q/h9Wc_9HcdaZr9oIMupQ5jXbRsy6yMboYBTTeDPhk6bKvTz442_7wIac=
059法登000017,16,董　事,何順亨,https://aomp109.judicial.gov.tw/judbp/whd6k/q/5ZRgeYvnlT_OjGJ4Xq1VG4v3wfvXEARaKYFv_FOFo7xWvAe0L2n7PIM=
059法登000017,17,"董  事",葉金生,https://aomp109.judicial.gov.tw/judbp/whd6k/q/jImRKxovfmzGNcp_Qpgk7hcl4Z-lXBVCpA-WIstQlFcDFQdMi6C89o4=
059法登000017,18,"董  事",王根定,https://aomp109.judicial.gov.tw/judbp/whd6k/q/9ZPpaKbR_Gz5OYyUimf_QMPxhimWmDYVaYXLssOVFG_kmkxNXt9Ja9k=
059法登000017,19,"董  事",王連煌,https://aomp109.judicial.gov.tw/judbp/whd6k/q/62hzk7AB_qMK_KC_fx_ncMatCBq7NUJ89iPP_pDm7-PTuIjuX4RvNcY=
059法登000017,20,"董  事",王真童,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Ji3ZLlzjIlowxyMnKkcqbeZtGUlwDvH0g4LHgqnIwW_iLf8Kqw5xrlA=
059法登000017,21,"董  事","王   硿",https://aomp109.judicial.gov.tw/judbp/whd6k/q/y6tPOIIIugosURF2obIrFAE6DX9zu6rHWavSGcJuLptCcOLP1Fhqky4=
059法登000018,1,董事長,張伯欣,https://aomp109.judicial.gov.tw/judbp/whd6k/q/SZxrQS8stkzY5scDtPpl-icoPJgNxpu7Duq0t9NJ1RW3jhclHf1Hebc=
059法登000018,2,"董  事",張伯翔,https://aomp109.judicial.gov.tw/judbp/whd6k/q/roOGifC2Jl6WeN3uqgbLwlai7X-JJKCjA2Z0hdGKj9teKj4Sx2j9sqU=
059法登000018,3,"董  事",張伯甫,https://aomp109.judicial.gov.tw/judbp/whd6k/q/msRDYL7UKxhFPjBM1TXKAzNqu_SzPwtP9obCX-jkxKerbkgyYQLLgw0=
059法登000018,4,"董  事",王昭山,https://aomp109.judicial.gov.tw/judbp/whd6k/q/sIfJ6vnT_4cVvlwEkoGjszN0q6XqTFRup1QWcSxxYYukKGZPVUBxV_g=
059法登000018,5,"董  事",張伯亷,https://aomp109.judicial.gov.tw/judbp/whd6k/q/893r3w97BeRIL7QdR_ui7sD5ajwHdEw0Y3AlmE3Fdx2bi_lQEIBeCms=
