登記案號,序號,分事務所地址
096法登他000041,1,台南市仁和路七十四號
096法登他000077,1,高雄市凱旋三路八七五號
096法登他000091,1,台南縣東山鄉東山村５００號
096法登他000091,2,台南市北區長榮路五段４５２巷１９號
096法登他000138,1,台南市仁和路七十四號
096法登他000145,1,屏東縣內埔鄉建興新村１００號
096法登他000148,1,屏東縣內埔鄉建興新村１００號
096法登他000154,1,台南市裕敬一街三七號
096法登他000154,2,台北市南深路二一巷十六、十八號
096法登他000154,3,屏東縣泰武鄉佳興村二號
096法登他000154,4,屏東縣來義鄉義林村七一號
096法登他000154,5,屏東縣來義鄉義林村大後路一二號之二
096法登他000154,6,屏東縣來義鄉古樓村中正路一三號
096法登他000154,7,屏東縣潮州鎮三德路80號
096法登他000154,8,屏東縣來義鄉丹林村古義路31之1號
096法登他000199,1,台南縣東山鄉東山村５００號
096法登他000199,2,台南市北區北門路二段３６２號
