登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
084法登他000001,1,2,謝怜聰,455,0840104,0840104,0810104,13冊36頁,2,2,沈智慧,財團法人產業發展基金會,0800619,臺中市雙十路二段二０三號,以促進產業升級，帶動工商業發展，並健全及強化整體經濟及社會繁榮，提供相對資訊為宗旨。,由李水土等捐助,"經濟部   　中華民國八十年六月十九日　經(83)商二二０一二八","永  久",10000000.00,1,0840105,,,,,,,,
084法登他000002,1,2,謝怜聰,197,0840104,0840104,0840105,7冊54頁,,0,董事長,財團法人臺灣省臺中縣私立僑泰高級工業家事職業學校,0600225,臺中縣大里市樹王里樹王路三四二號,為遵照國家教育政策暨現行教育法令之規定，辦理私立僑泰高級工業家事職業學校並謀其發展。,由蔡和榮等捐助,"臺灣省政府教育廳 　　中華民國五十九年七月十四日  八三教字第一０六六九四號",永　久,242457212.00,1,0840104,,,,,,,,
084法登他000004,1,2,謝怜聰,479,0840110,0840110,0840111,14冊11頁,2,2,張王國秀,"財團法人張  明、王國秀文教基金會",0810116,臺中縣太平鄉中山路一段二一五巷三十五號附一號,"為遵循國家文教政策暨現行法令之規定，辦理張  明、王國秀文教基金會並謀其發展。","由張  明、王國秀捐助","教育部     中華民國八十年十二月二十日","永   久",11000000.00,1,0840110,,,,,,,,
084法登他000005,1,2,謝怜聰,175,0840110,0840110,0840111,7冊27頁,1,10,董事長,財團法人私立僑光商業專科學校,0571009,臺中市西屯區僑光路一００號,以遵照國家教育政策暨現行教育法令規定，辦理商業專科學校。,由陳弼臣、陳積中、黃雁閣、陳興材等捐助。,教育部　　　中華民國五十三年八月十八日,永　久,504573645.00,1,0840110,,,,,,,,
084法登他000006,1,2,謝怜聰,130,0840110,0840110,0840111,5冊14頁,2,14,林正光,財團法人臺灣省臺中縣私立明臺家事商業職業學校,0500818,臺中縣霧峰鄉萊園路九十一號,為遵照國家政策暨現行教育法令之規定辦理中等學校並謀其發展。,由林攀龍等捐助,"臺灣省政府教育廳    中華民國三十九年八月四日","永  久",109922748.00,1,0840110,,,,,,,,
084法登他000007,1,2,謝怜聰,233,0840110,0840110,0840111,9冊10頁,1,11,何宜武,財團法人私立逢甲大學,0630520,臺中市西屯區文華路一００號,遵照國家教育政策暨現行法令之規定辦理逢甲大學並謀其健全發展。,由私立逢甲工商學院董事會現有之財產提供,"教育部      中華民國四十八年十一月九日","永  久",2173229024.00,1,0840110,,,,,,,,
084法登他000008,1,2,謝怜聰,104,0840116,0840116,0840117,4冊18頁,2,13,蕭松山,財團法人臺中市私立慈光圖書館,0461005,臺中市中區柳川西路三段十二號,復興中華文化，增進國民知識，發揚佛教大乘精神輔翊我國固有道德，助成社會淳厚風俗。,由李炳南等捐助,臺中市政府　　中華民國四十六年九月六日,"永  久",1128951.00,1,0840116,,,,,,,,
084法登他000009,1,2,謝怜聰,17,0840120,0840120,0840121,6冊18頁,2,3,"陳  玉",財團法人臺灣省臺中市慈聖宮,0570603,臺中市西區三民路一段五十二巷二號,奉遵張府天師為主神，宣揚道教教義，而重整道德，並辦慈善公益事業，促進社會福利為宗旨,由原慈聖宮管裡委員會捐助,"臺中市政府 中華民國五十九年四月二九日  八三府民禮字第143260號","永  久",579492.00,1,0840120,,,,,,,,
084法登他000010,1,2,謝怜聰,256,0840126,0840126,0840127,9冊33頁,2,7,許茂雄,財團法人臺灣省私立許鉗基金會,0650112,臺中市復興路四段十九號,以舉辦社會福利為宗旨。,由許鉗捐助,"臺灣省政府社會處   中華民國六十四年四月二日","永  久",62300000.00,1,0840126,,,,,,,,
084法登他000011,1,2,謝怜聰,313,0840127,0840127,0840128,10冊42頁,2,4,施慶星,財團法人臺灣省臺中縣后里萬聖行宮,0710113,臺中縣后里鄉廣福村內東路萬聖巷七號,為發揚固有文化復興精神，宣揚數千年來中華道統及宗教傳統真義，而重整道德兼辦公益事業，利國利民為宗旨。,由信徒捐助,"臺中縣政府　 中華民國七十年十月二十二日","永  久",3314800.00,1,0840127,,,,,,,,
084法登他000012,1,2,謝怜聰,529,0840127,0840127,0840128,15冊12頁,1,1,蔡長啟,財團法人國立臺灣體育專科學校文教基金會,0820423,臺中市雙十路一段十六號,以實踐國立臺灣體育專科學校設立目標，激勵教職員生為宗旨。,由張銘忱等捐助,"教育部   中華民國八十二年四月十四日","永 久",14500000.00,1,0840127,,,,,,,,
084法登他000013,1,2,謝怜聰,283,0840209,0840209,0840210,10冊12頁,2,4,羅光男,財團法人臺灣省臺中縣谷關大道院,0671104,臺中縣和平鄉博愛村東關路一段四五０號,宏揚宗教教義、興辦社會福利公益慈善事業。,信徒捐助,"臺中縣政府     中華民國六十七年九月十二日","永   久",45320000.00,1,0840209,,,,,,,,
084法登他000014,1,2,謝怜聰,556,0840220,0840220,0840221,15冊39頁,1,1,劉秀忍,財團法人聖仁慈善救濟基金會,0821108,臺北市長安東路一段二號之一,以舉辦社會福利事業為宗旨。,由劉秀忍捐助,"內政部     中華民國八十二年七月二十七日","永  久",33000000.00,1,0840220,,,,,,,,
084法登他000015,1,2,謝怜聰,477,0840220,0840220,0840221,14冊9頁,2,2,董事長,財團法人臺灣省音樂文化教育基金會,0801219,臺中縣霧峰鄉本堂村中正路七三八之二號,推廣並辦理臺灣省音樂文化教育及各項音樂藝術活動。,由連方瑀等捐助,"臺灣省政府教育廳    中華民國八十年十一月十六日","永  久",31300000.00,1,0840220,,,,,,,,
084法登他000016,1,2,謝怜聰,444,0840220,0840220,0840221,13冊25頁,1,0,董事長,財團法人臺中縣文化建設基金會,0800206,臺中縣豐原市圓環東路七八二號,宏揚中華文化，提昇生活素質為宗旨。,由文建會捐助,"臺中縣政府　  　中華民國七十九年十二月十日",永　久,10000000.00,1,0840220,,,,,,,,
084法登他000017,1,2,謝怜聰,106,0840223,0840223,0840224,4冊20頁,2,5,劉國榮,財團法人臺灣省臺中市佛教蓮社,0470417,臺中市南區民生路二十三巷十四號,闡揚大乘佛教專修淨土法門提倡國民道德輔助社會福利慈善事業。,由李炳南居士等捐助,"臺中市政府     中華民國四十七年三月二十五日","永  久",97225.00,1,0840223,,,,,,,,
084法登他000018,1,2,謝怜聰,541,0840301,0840301,0830302,15冊37頁,1,1,董事長,財團法人法鼓山文教基金會,0821102,臺北市北投區光明路二七六號,推廣佛教學術文化,由張聖嚴捐助,"教育部  中華民國八十一年三月十七日",永久,19200000.00,1,0840301,,,,,,,,
084法登他000019,1,2,謝怜聰,119,0840301,0840301,0830302,5冊3頁,2,8,王福來,財團法人臺灣省臺中縣私立明道高級中學,0500301,臺中縣烏日鄉中山路一段四九七號,以舉辦教育事業為目的。,由王福來、汪廣平捐助,"臺灣省政府教育廳     中華民國四十九年七月二十二日","永  久",723915064.00,1,0840301,,,,,,,,
084法登他000020,1,2,謝怜聰,604,0840303,0840303,0840304,16冊37頁,1,1,林炳章,財團法人臺中市南區國光國民小學學校教育發展基金會,0830915,臺中市南區國光路二六一號,以提升學校教育品質為宗旨，充分運用社會資源協助臺中市南區國光國民小學改善學校環境，充實教學設備，推動教育研究，發展教育建設。,由林炳章等捐助,"臺中市政府  　中華民國八十三年八月十一日　八十三府教社字第九九九０七號",永　久,4170000.00,1,0840303,,,,,,,,
084法登他000021,1,2,謝怜聰,380,0840309,0840309,0840310,12冊11頁,2,2,范念慈,財團法人中華基督教恩光堂浸信會,0761023,臺中市國光路二二五號,本耶穌基督捨己愛人精神、傳揚聖經教訓、領人歸向基督、服務社會、辦理教育、慈善等事業。,由財團法人美南浸信會臺北事務所捐助,"臺中市政府   中華民國七十六年十月十五日","永  久",18099933.00,1,0840309,,,,,,,,
084法登他000024,1,2,謝怜聰,152,0840324,0840324,0840325,6冊6頁,1,9,廖繼誠,財團法人臺灣省臺中縣私立大明高級中學,0540518,臺中縣大里市新仁路三段二一０號,興辦臺中縣中等教育事業。,由盧中天捐助,"臺灣省政府教育廳     中華民國五十三年六月十九日","永  久",229121676.00,1,0840324,,,,,,,,
084法登他000025,1,2,謝怜聰,395,0840328,0840328,0840330,12冊26頁,2,3,莊宏達,財團法人瑪利亞文教基金會,0771123,臺中市五權七街六三巷三號,發揚中華文化及舉辦啟智教育公益事務。,由莊宏達等人捐助,"臺灣省政府教育廳  中華民國七十七年十月二七日","永  久",52000000.00,1,0840328,,,,,,,,
084法登他000026,1,2,謝怜聰,538,0840328,0840328,0840330,15冊21頁,1,1,莊國欽,財團法人精密機械研究發展中心,0820618,台中市工業區工業三四路二二號,"為促進我國精密機械業升級、開拓新市場,以從事產品之試驗、診斷         與關鍵技術之研究發展,提升產品品級,及協助精密機械業者研究發展        及產品檢測,俾改進產品品質,以競爭性售價創造高附加價值為目的。",由台灣區機器工業同業公會之工具機發展基金委員會等捐助。,八十二年六月一日經濟部,永久,60000000.00,1,0840328,,,,,,,,
084法登他000027,1,2,謝怜聰,211,0840328,0840328,0840331,8冊4頁,2,7,羅文貴,財團法人臺灣省臺中縣私立弘文工業家事職業學校,0610229,臺中縣潭子鄉中山路三段二二一巷九十六號,以創辦私立弘文高級工商職業學校並謀其發展為目的。,董事捐助,"臺灣省政府教育廳     中華民國六十年八月六日","永  久",114090397.00,1,0840328,,,,,,,,
084法登他000029,1,2,謝怜聰,500,0840408,0840408,0840409,14冊32頁,2,2,董事長,財團法人臺中市私立群園社會福利慈善事業基金會,0810708,臺中市臺中港路一段二四二號九樓Ｃ室,辦理社會公益事業為宗旨。,由群園建設股份有限公司等捐助,"臺中市政府　  　中華民國八十一年六月九日",永　久,3500000.00,1,0840408,,,,,,,,
084法登他000030,1,2,謝怜聰,119,0840301,0840301,0840301,5冊3頁,,0,王福來,財團法人台灣省台中縣私立明道高級中學,0500301,台中縣烏日鄉中山路一段四九七號,以舉辦教育事業為目的,由王福來、汪廣平捐助(創辦人王福來捐助新台幣捌佰萬元、創辦人汪廣平捐助新台幣捌佰捌拾萬元。,"台灣省政府教育廳  四十九年七月二十二日",永久,555475742.00,1,0840301,,,,,,,,
084法登他000031,1,2,謝怜聰,98,0840410,0840411,0840411,4冊12頁,2,6,董事長,財團法人臺中縣私立蘭生仁愛之家,0460508,臺中縣霧峰鄉林森路三四六號,辦理社會救濟事業，增進社會福利。,由林許悅捐助,"臺中縣政府     中華民國四十五年七月二十四日","永  久",158996128.00,1,0840411,,,,,,,,
084法登他000032,1,2,謝怜聰,447,0840413,0840413,0840414,13冊28頁,2,2,陳亭卿,財團法人臺中縣私立銀同碧湖陳氏社會福利基金會,0800219,臺中縣龍井鄉新興路一四四號,舉辦社會福利慈善事業為宗旨。,由陳亭卿等捐助,"臺中縣政府　    中華民國八十年二月十九日",永　久,5000000.00,1,0840413,,,,,,,,
084法登他000033,1,2,謝怜聰,480,0840413,0840413,0840414,14冊12頁,2,2,張光貝,財團法人惜福文教基金會,0810128,臺中市北區三民路三段一七九號十樓,協助政府推動社會教育，改善社會風氣，崇尚公共道德，培養惜福感恩之社會倫理，提昇生活品質，建設富而好禮的社會為宗旨。,由中屋機構關係企業共同捐助,"教育部 　　中華民國八十年十二月二十日",永　久,10000000.00,1,0840413,,,,,,,,
084法登他000034,1,2,謝怜聰,426,0840414,0840414,0840415,130冊7頁,2,2,董事長,財團法人臺灣省美術基金會,0790312,臺中市五權西路二號,為保存美術文化財產推廣美術教育研究美術學術提高國民生活品質及促進世界美術交流。,由楊天發等捐助,"臺灣省政府教育廳     中華民國七十九年一月二十二日","永  久",12100000.00,1,0840414,,,,,,,,
084法登他000036,1,2,謝怜聰,613,0840413,0840413,0840414,16冊46頁,1,1,林東薰,財團法人臺灣基督長老教會蒙恩教會,0831212,臺中市東區大公街二十一號,以基督禮拜、神學研究、傳播福音及使人歸正為目的。,由林東薰捐助,"臺中市政府     中華民國八十三年十二月五日  民禮字第一五一七五六號","永  久",32092200.00,1,0840413,,,,,,,,
084法登他000037,1,2,謝怜聰,315,0840414,0840414,0840415,10冊44頁,2,3,周惠和,財團法人天主教聖道明瑪利諾女修會,0510914,臺中市貴和街四十二號,以維持本會修女現在及將來所經辦之教育、醫務、宗教、慈善、社會福利各事業，嘉惠民眾，協助當地主教，並使年老有疾病之修女獲得贍養。,由聖道明瑪利諾女修會總會及本會修女捐助。,臺灣省政府民政廳　　中華民國五十一年八月二十七日,"永  久",5171190.00,1,0840414,,,,,,,,
084法登他000038,1,2,謝怜聰,358,0840417,0840417,0840418,11冊37頁,1,3,王翼漢,財團法人臺中市私立無極證道院社會福利慈善事業基金會,0751212,臺中市北屯區天祥街一二九號,一、老人福利。二、兒童福利。三、低收入照顧。四、印贈勸善圖書供閱。五、志願服務之辦理及推廣。,由王翼漢捐助,"臺中市政府    中華民國七十五年十一月二十一日","永  久",5000000.00,1,0840417,,,,,,,,
084法登他000039,1,2,謝怜聰,556,0840418,0840418,0840419,15冊39頁,1,2,劉秀忍,財團法人聖仁慈善救濟基金會,0821108,臺北市天津街六十二號六樓,以舉辦社會福利事業為宗旨。,由劉秀忍捐助,"內政部   中華民國八十二年七月二十七日","永  久",35000000.00,1,0840418,,,,,,,,
084法登他000040,1,2,謝怜聰,575,0840420,0840420,0840421,16冊8頁,1,1,董事長,財團法人玖順網球發展文教基金會,0830201,臺中市忠勤街三二八號一樓,以發展網球運動，提昇全民網球運動水準為宗旨，依有關法令規定辦理下列業務：一、發展網球運動。二、培育網球運動。三、國內國際網球比賽之辦理及推廣。四、接受主管機關指導辦理事項。,由藍財旺捐助,"教育部      中華民國八十二年九月二十一日","永  久",10000000.00,1,0840420,,,,,,,,
084法登他000041,1,2,謝怜聰,322,0840427,0840427,0840428,11冊1頁,2,4,周賜斌,財團法人臺中市私立臺中中學紀念基金會,0720318,臺中市中區自由路二段十二號九樓,"一、資助或獎勵臺中市民之優秀子弟就學。二、舉辦慈善公益事項，促進社會    福利。三、辦理同學有關福利事業。",臺中市立中學同學會捐助,"臺中市政府　 中華民國七十二年二月十一日　七二府社福字第０六五三三號",永　久,31619329.00,1,0840427,,,,,,,,
084法登他000042,2,2,謝怜聰,489,0840504,0840504,0840505,15冊21頁,2,2,理事長,社團法人臺灣省鍋爐協會,0810418,臺中市黎明路二段六０六巷五十三弄一號,本會配合政府推行經濟發展與工業安全政策，增進鍋爐效益，維護鍋爐安全，以達到民生樂利為宗旨。,會員會費,"臺灣省政府社會處     中華民國七十一年五月六日","永  久",19458142.00,1,0840504,,,,,,,,
084法登他000043,1,2,謝怜聰,420,0840504,0840504,0840505,13冊1頁,1,2,董事長,財團法人立夫醫藥研究文教基金會,0790106,臺中市學士路九十一號,協助發展中國醫藥為宗旨。,由陳立夫捐助,"教育部      中華民國七十八年十月六日","永  久",39219771.00,1,0840504,,,,,,,,
084法登他000044,2,2,謝怜聰,461,0840508,0840508,0840509,13冊42頁,2,2,朱慶聰,社團法人臺中市建誠道德倫理研究學會,0800815,臺中市東區旱溪西路四三一號,為促進社會風氣，建立人與人之間待人接物要持之以誠，並維護中華文化固有之綱常倫理，弘揚孔孟道德，倡導敦美風俗，家庭祥和，社會安和樂利，並以服務人群，辦理公益慈善事業為宗旨。,會員捐款等,"臺中市政府　   中華民國八十年八月十五日","永  久",3500000.00,1,0840508,,,,,,,,
084法登他000045,1,2,謝怜聰,259,0840515,0840515,0840516,9冊36頁,2,3,鍾坤滿,財團法人私立臺中市百齡社會福利事業管理會,0650316,臺中市華美西街一段一三七號四樓之三,本會為配合政令發展社會福利事業興辦臺中市立第一花園公墓及建納骨塔、紀念堂為宗旨。,由鍾坤滿等人捐助,"臺中市政府      中華民國六十五年二月二十六日","永  久",500000.00,1,0840515,,,,,,,,
084法登他000046,2,2,謝怜聰,433,0840515,0840515,0840516,13冊14頁,2,3,陳介榮,社團法人臺中市南區扶輪社,0790503,臺中市民生路一九七號十二樓之五,鼓勵並培養以服務理想為可貴事業之基礎。,社員入會費,"臺中市政府     中華民國七十六年六月十六日","永  久",288000.00,1,0840515,,,,,,,,
084法登他000048,1,2,謝怜聰,159,0840529,0840529,0840530,6冊13頁,1,9,董事長,財團法人私立中臺醫事技術專科學校,0550701,臺中市北屯區廍子里廍子巷十一號,遵照國家教育政策暨現行教育法令之規定，辦理醫事技術專科學校，並謀其健全發展。,由本會董事會捐助,教育部　　　中華民國五十五年八月十日,永　久,420542539.00,1,0840529,,,,,,,,
084法登他000049,1,2,謝怜聰,226,0840529,0840529,0840530,9冊3頁,2,5,何火木,財團法人臺灣省臺中九龍宮,0620906,臺中市北屯區北屯路九龍街五十二號,崇奉三教聖賢，闡揚聖德並舉辦慈善事業。,由信徒捐助,"臺中市政府　　 中華民國六十二年八月八日","永  久",162787297.00,1,0840529,,,,,,,,
084法登他000051,1,2,謝怜聰,523,0840609,0840609,0840610,15冊6頁,1,1,董事長,財團法人臺灣省私立泛亞銀行社會福利公益慈善事業基金會,0820118,臺中市中正路四六一號四樓,以舉辦社會福利慈善事業為宗旨。,由泛亞商業銀行股份有限公司捐助,"臺中市政府     中華民國八十一年十二月十四日","永  久",30000000.00,1,0840609,,,,,,,,
084法登他000052,1,2,謝怜聰,529,0840616,0840616,0840617,15冊12頁,2,2,蔡長啟,財團法人國立臺灣體育專科學校文教基金會,0820423,臺中市雙十路一段十六號,以實踐國立臺灣體育專科學校設立目標，激勵教職員生為宗旨。,由張銘忱等捐助,"教育部   中華民國八十二年四月十四日","永 久",14500000.00,1,0840616,,,,,,,,
084法登他000053,1,2,謝怜聰,407,0840616,0840616,0840616,12冊38頁,2,3,張光儀,財團法人臺灣省臺中市幸天宮,0780621,臺中市中區建國路一五九巷二十七號,以弘揚聖德宣化教義興辦公益慈善事業及推行文化建設為宗旨。,由高平萱及幸天宮管理委員會捐助,"臺中市政府   中華民國七十八年五月五日","永  久",5167516.00,1,0840616,,,,,,,,
084法登他000054,1,2,謝怜聰,367,0821122,0821122,0821123,11冊46頁,1,3,黃優洛,財團法人臺灣電信技術服務社,0760506,臺中市建成路一六０一號八樓之三,發展電信及資訊有關技術。,由張文正等十人捐助,交通部　　中華民國七十六年四月九日,永　　久,1000000.00,1,0840701,,,,,,,,
084法登他000055,1,2,謝怜聰,235,0840704,0840704,0840705,9冊12頁,2,8,呂兆宗,財團法人臺灣省臺中縣私立東暉高級中學,0630523,臺中縣東勢鎮東坑街一三四之一號,謀發展教育為目的。,由柯李瓊英捐助,"臺灣省政府教育廳      中華民國六十三年五月四日","永  久",26299884.00,1,0840701,,,,,,,,
084法登他000056,1,2,謝怜聰,544,0840704,0840704,0840705,15冊27頁,1,1,洪增榮,財團法人富麗文教基金會,0820811,臺中縣大甲鎮中山路一段一０六一號五樓,提高文化藝術水準，淨化社會人心，提倡倫理道德，提昇生活素質。,由富疆建設事業股份有限公司等捐助,臺中市政府　　中華民國八十二年八月二日,永　久,2000000.00,1,0840701,,,,,,,,
084法登他000057,1,2,謝怜聰,540,0840704,0840704,0840705,15冊23頁,1,1,吳宏基,財團法人塑膠工業技術發展中心,0820702,台中市台中工業區工二十三路三十五號,"以輔導協助國內塑膠加工業改善設備,提高生產技術及產品品質,改良        製造方法,開發新產品,並推動國際合作技術交流,以增強競爭能力為         目旳。",由經濟部工業局等捐助,"八十二年六月十五日 經濟部 經 八二 商二一六六一六號",永久,51309000.00,1,0840701,,,,,,,,
084法登他000058,1,2,謝怜聰,524,0840714,0840714,0840715,15冊7頁,2,2,張英壽,財團法人臺中市慈善寺文教基金會,0820226,臺中市天津路四段一九八號,以發揚中華倫理文化及興辦教育公益業務為宗旨。,"由周  稚等捐助","臺中市政府    中華民國八十二年二月三日","永  久",2000000.00,1,0840714,,,,,,,,
084法登他000059,1,2,謝怜聰,435,0840717,0840717,0840718,13冊16頁,1,2,陳一雄,財團法人中國醫藥學院校友文教基金會,0790531,臺中市南區工學路六十一號,中西醫藥學術研究及社會教育之辦理。,由陳一雄等捐助,"教育部      中華民國七十九年三月二十日","永  久",7000000.00,1,0840717,,,,,,,,
084法登他000060,1,2,謝怜聰,184,0840721,0840721,0840724,7冊41頁,2,11,賴增迎,財團法人私立嶺東商業專科學校,0580531,臺中市南屯區嶺東路一號,遵照國家教育政策暨現行教育法令之規定，辦理嶺東商業專科學校，並謀其發展。,"由黎亞萍先生、黎  明女士捐助","教育部    中華民國五十三年九月四日","永  久",755307416.00,1,0840721,,,,,,,,
084法登他000061,2,2,謝怜聰,630,0840721,0840721,0840724,17冊13頁,2,2,張文儀,社團法人國際獅子會中華民國總會臺灣省臺中縣臺中港獅子會,0840323,臺中縣沙鹿鎮光榮街九十四號八樓之四,"一、發揚人類博愛互助精神 二、增進國際間友好之關係 三、尊重自由，啟發智慧 四、提倡社會福利 五、促進國家安全。",會員會費等,"臺中縣政府    中華民國八十三年九月二十二日","永   久",500000.00,1,0840721,,,,,,,,
084法登他000062,1,2,謝怜聰,135,0840727,0840727,0840728,5冊19頁,2,12,林劉連炳,財團法人臺灣省臺中市萬和宮,0510106,臺中市南屯區萬和路一段五十一號,宣揚媽祖聖德，力求改善民俗，興辦慈善公益事業，促進社會福利。,由原南屯區萬和宮捐助,"臺中市政府    中華民國五十年九月二十二日","永  久",223411.00,1,0840727,,,,,,,,
084法登他000064,1,2,謝怜聰,331,0840817,0840818,0840819,11冊10頁,2,4,楊大中,財團法人臺中市私立惠康醫療救濟基金會,0731004,臺中市臺中港路三段一六０號,以增進病患福利為宗旨；並藉濟助臺中榮民總醫院貧困傷患之醫療、復健及傷患所舉辦之各項團體活動等，以期傷患能獲得生理、心理、社會等多方面之完全照顧。,由榮民總醫院臺中分院捐助,"臺中市政府     中華民國七十三年九月十七日","永  久",51846929.00,1,0840818,,,,,,,,
084法登他000065,1,2,謝怜聰,168,0840822,0840822,0840823,7冊13頁,2,10,劉清標,財團法人臺灣省臺中市私立明德高級家事商業職業學校,0561022,臺中市南區明德街八十四號,遵照國家教育政策暨現行教育法令之規定辦理職業學校，並謀其健全發展。,捐助,"臺中市政府　  中華民國五十六年九月二六日",永　久,23586208.00,1,0840822,,,,,,,,
