登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
102法登他000001,1,2,林蕙鴻,144,1020103,1020122,1020122,4冊38頁,2,7,柯斯媛,財團法人楊梅鎮國民中小學文教基金會,0840206,桃園縣楊梅市中正路456號,協助楊梅市國民中小學學校改善環境、發展校務、獎勵教師研究進修、促進學生敦品勵學。,由本鎮學校校友、家長、公司行號及熱心教育人士捐助，並於辦理變更登記後，繼續接受捐助。,桃園縣政府83年12月16日83府教社字第253484號,永久,2036000.00,1,1020122,,,,,,,,
102法登他000002,2,2,林蕙鴻,746,1020108,1020109,1020109,16冊43頁,1,2,吳祐陞,社團法人中華民族台灣祖陵山文化推廣協會,0981223,桃園縣蘆竹鄉南竹路2段281之1號,為推動台灣全民本土文化，不分姓氏聯合集中祭祀之理念為目的，並帶動環保祭祀、發揚孝道、保有傳統固有文化資產、節省全民各別祭祀之社會成本、培訓專業祭祀儀軌人才、照顧全民先祖、使子孫安心創業、擴大社會教化功能。,會費,內政部中華民國98年11月24日台內社字第0980215968號函,永久,0.00,1,1020109,,,,變更章程第1、13、20、25條,,,,
102法登他000003,1,2,林蕙鴻,77,1020108,1020109,1020109,2冊151頁,2,9,楊定一,長庚學校財團法人,0760116,桃園縣龜山鄉文化一路261號,為培育人才之目的，設立長庚學校財團法人。,由長庚紀念醫院捐贈。,"教育部中華民國77年6月7日 台（７７）技字第25497號函",永久,17116019796.00,1,1020109,,,,,,,,
102法登他000004,1,2,林蕙鴻,436,1020109,1020307,1020307,10冊23頁,1,4,徐熙楷,財團法人桃園縣立大成國民中學教育事務基金會,0911014,桃園縣八德市忠勇街12號,本會以協助大成國民中學改善教學環境、發展校務、獎勵教師研究進修、發行教育性刊物、促進學生敦品勵學為目的。,捐助,"桃園縣政府 府教社字第0910200730號",永久,2000000.00,1,1020307,,,,,,,,
102法登他000005,2,2,林蕙鴻,476,1020109,1020115,1020115,11冊3頁,2,4,許文光,社團法人桃園縣居業會,0930707,桃園縣新屋鄉埔頂村8鄰27之1號,本會為依法設立非以營利為目的之社會團體，以促進社會祥和，達到人人安居樂業及宏揚祖德、薪火相傳、團結互助為宗旨。,捐助,桃園縣政府92年9月24日府社行字第0920218055號函,永久,0.00,1,1020115,,,,,,,,
102法登他000006,2,2,林蕙鴻,237,1020109,1020118,1020118,6冊25頁,2,6,董明吉,社團法人噶舉瑪倉派佛學會,0870126,桃園縣蘆竹鄉長興路3段265號,弘揚釋迦牟尼佛正宗佛學、佛教、佛法，以正宗經律論三藏，並推廣公益慈善、社會教化、文化建設、端正禮俗、淨化人心等心靈活動為本會宗旨。,會費等,內政部中華民國86年8月13日台86內社字第24070號,永久,9291341.00,1,1020118,,,,,,,,
102法登他000007,1,2,林蕙鴻,25,1020111,1020115,1020115,1冊97頁,1,15,彭壽春,健行學校財團法人,0550318,桃園縣中壢市健行路229號,培養國家經濟建設人才,由創辦人楊永奎先生捐助創校基金新臺幣伍佰萬元及前臺北市私立三極高級工業職業學校中壢分部移贈校產（包括動產、不動產及其他產權），總值為新臺幣陸佰陸拾萬伍仟玖佰玖拾陸元陸角。,教育部中華民國55年2月3日（55）高字第1384號令,永久,4062292070.00,1,1020115,,,,,,,,
102法登他000008,1,2,林蕙鴻,39,1020111,1020115,1020115,1冊139頁,2,14,馬世澤,萬能學校財團法人,0610327,桃園縣中壢市萬能路1號,以創辦萬能科技大學並謀其發展為目的。,捐助,教育部中華民國60年10月13日台（六十）專23728號函,永久。,3530418765.00,1,1020115,,,,,,,,
102法登他000009,1,2,林蕙鴻,178,1020114,1020123,1020123,5冊7頁,2,8,楊榮壽,財團法人桃園縣少年友愛文教基金會,0850708,桃園縣桃園市三民路1段116巷6號,以輔導桃園縣犯罪少年暨研究少年犯罪問題為宗旨,本會設立基金共新臺幣参佰萬元整，由關懷少年之社會善心人士捐助而成立。,桃園縣政府八十五年七月一日（八五府教社字第０８９８５７函）。,永久,3000000.00,1,1020123,,,,,,,,
102法登他000010,1,2,林蕙鴻,178,1020114,1020201,1020201,5冊7頁,2,8,楊榮壽,財團法人桃園縣少年友愛文教基金會,0850708,桃園縣桃園市信光路72號,本會以輔導桃園縣犯罪少年暨研究少年犯罪問題為宗旨,本會設立基金共新臺幣参佰萬元整，由關懷少年之社會善心人士捐助而設立,桃園縣政府八十五年七月一日（八五府教社字第０８９８５７函）。,永久,3000000.00,1,1020201,,,,,,,,
