登記案號,序號,分事務所地址
104法登他000003,2,台中市太平區中山路2段154巷27號
104法登他000008,1,台北市內湖區東湖路141之1號3樓
104法登他000043,1,高雄市苓雅區中正二路103號9樓之1
104法登他000056,1,台北市北投區光明路276號
104法登他000056,2,台北市北投區大業路65巷89號
104法登他000056,3,台北市大安區安和路1段29號10樓
104法登他000056,4,新北市金山區三界里7鄰法鼓路555號
104法登他000056,5,桃園市大興西路2段105號12樓
104法登他000056,6,嘉義市林森東路343號1樓
104法登他000056,7,台中市市政路37號
104法登他000056,8,台南市北區西門路3段159號14樓
104法登他000056,9,高雄市三民區建安街94號
104法登他000056,10,台東市更生北路132巷38號
104法登他000056,11,台北市中山區民權東路1段67號9樓
104法登他000056,12,新北市永和區中正路417號10樓、10樓之1
104法登他000056,13,基隆市仁愛區仁五路8號3樓之1、之2、之3、之4
104法登他000056,14,屏東市建豐路2巷70號
104法登他000056,15,台北市中正區延平南路77號
104法登他000056,16,新北市三峽區介壽路2段138巷168號
104法登他000056,17,新北市新莊區新莊路114號
104法登他000056,18,新北市新店區中華路7號
104法登他000056,19,新北市林口區中山路91號3樓
104法登他000056,20,桃園縣平鎮市環南路184號3樓之1
104法登他000056,21,台中市東勢區東蘭路26之18號
104法登他000056,22,花蓮市光復街87號7樓
104法登他000064,1,桃園縣桃園市南華街60號10樓之2
104法登他000102,1,台南市新營區武昌街11之2號
104法登他000118,1,台北市廣州街200號
104法登他000163,2,台中市太平區中山路2段154巷27號
104法登他000180,1,台中市北屯區橫坑巷95號
104法登他000180,2,高雄市左營區文學路510號
104法登他000180,3,花蓮縣花蓮市海濱街12之5號
104法登他000236,2,花蓮縣鳳林鎮光華路52號2樓
104法登他000291,1,"台北市北區分事務所   台北市士林區德行東路314號1樓"
104法登他000291,2,"台北市南區分事務所 台北市南港區重陽路132號1樓"
104法登他000310,1,"台北市北區分事務所   台北市士林區德行東路314號1樓"
104法登他000310,2,"台北市南區分事務所 台北市南港區重陽路132號1樓"
104法登他000316,1,宜蘭縣蘇澳鎮新城北路19之13號
104法登他000337,1,台中市西屯區西平南巷6之6號
104法登他000347,1,高雄市苓雅區三多二路219號
104法登他000349,1,高雄市中正三路45號5樓
104法登他000349,2,台中市南屯區五權西路2段666號13樓之4
104法登他000349,3,台南市北區西門路4段15號4樓
104法登他000355,1,台中市西區五權五街151號7樓之1之2之7
104法登他000355,2,高雄市左營區博愛三路12號6樓
104法登他000384,1,台北市建國南路2段231號
104法登他000429,1,宜蘭縣蘇澳鎮新城北路19之13號
