登記案號,序號,分事務所地址
091法登他000079,1,高雄市前金區中正四路一四八號七樓
091法登他000151,1,台中市北屯區橫坑巷九五號
091法登他000151,2,高雄市左營區文學路五一０號
091法登他000151,3,花蓮縣花蓮市海濱街十二之五號
091法登他000163,1,台北市北投區承德路七段三八八號二樓
091法登他000163,2,台北市北投區大業路六五巷八九號
091法登他000163,3,台北市大安區安和路一段二九號十樓
091法登他000163,4,台北縣金山鄉三界村七鄰一四之五號
091法登他000163,5,桃園市大興西路二段一○五號十二樓
091法登他000163,6,嘉義市林森西路一八七號三樓
091法登他000163,7,台中市市政路三七號
091法登他000163,8,台南市北區西門路三段一五九號十四樓
091法登他000163,9,高雄市三民區建安街八六號二樓
091法登他000163,10,台東市更生北路一三二號四九號
091法登他000206,1,高雄市鼎中路三五八巷十七號
091法登他000206,2,台中縣大甲鎮光明路一六五巷一七二號
091法登他000206,3,台北市南港區研究院路二段一六六號四樓
091法登他000236,1,台中市市政路三七號等
091法登他000236,2,台北市大安區安和路一段二九號十樓
091法登他000236,3,台北市北投區大業路六五巷八九號
091法登他000236,4,台南市西門路三段一五九號十四樓
091法登他000236,5,高雄市三民區建安街八六號二樓
091法登他000236,6,桃園縣桃園市大興西路二段一○五號十二樓
091法登他000236,7,台北市承德路七段三八八號二樓
091法登他000236,8,台北縣金山鄉西湖村四鄰西勢湖二之六號
091法登他000236,9,宜蘭縣宜蘭市民權新路二０八號一樓
091法登他000267,1,台北市北區分事務所：台北市士林區前港街三二號一樓
091法登他000269,1,台北市中正區愛國東路一００號十三樓
091法登財000030,1,台北市中正區愛國東路一００號十三樓
091法登財000087,1,台北市北區分事務所：台北市士林區前港街三二號一樓
