登記案號,序號,分事務所地址
085法登他000057,1,新竹市科學園區路一二七巷二弄三號
085法登他000057,2,高雄市三民區德仁里自由一路二號十樓之八
085法登他000073,1,高雄市三民區博愛一路三六六號二十樓
085法登他000073,2,高雄縣大社鄉三奶村興工路五號
085法登他000086,1,台北市永緩路八號
085法登他000091,1,高雄市自強二路一七０號八樓
085法登他000091,2,台北縣新店市大新街七巷廿五弄一號
085法登他000091,3,台北市興隆路二段二二０巷十六號三樓
085法登他000098,1,高雄市中華一路六十七號
085法登他000137,1,台北縣永和市福和路二二五號二二七號一－四樓
085法登他000137,2,台北縣板橋市實踐路一三０號四樓及一三二號四樓
085法登他000137,3,台中市市府路九七號一－八樓
085法登他000137,4,台南市東寧路三八四號一－五樓
085法登他000137,5,嘉義市中山路四九八號一－四樓
085法登他000137,6,高雄市五福四路一０四號一－五樓
085法登他000137,7,屏東市民生路一一八號一－四樓
085法登他000137,8,花蓮市中山路四七五之三號一－四樓
085法登他000137,9,台中縣豐原市水源路五九五號一－四樓
085法登他000138,1,台北市大直街六十九號地下一樓
085法登他000192,1,台北市永綏路八號
085法登他000224,1,高雄市自強一路二十二號五樓之一Ｂ室
085法登他000224,2,台中市中港路一段三九三號八樓
085法登他000224,3,台南市東門路一段三五八號五樓之二
085法登他000224,4,桃園市中正路一三七七號十三樓之四
085法登他000232,1,台北縣永和市福和路二二五號二二七號一－四樓
085法登他000232,2,台北縣板橋市實踐路一三０號四樓及一三二號四樓
085法登他000232,3,台中市市府路九七號一－八樓
085法登他000232,4,台南市東寧路三八四號一－五樓
085法登他000232,5,嘉義市中山路四九八號一－四樓
085法登他000232,6,高雄市五福四路一０四號一－五樓
085法登他000232,7,屏東市民生路一一八號一－四樓
085法登他000232,8,花蓮市中山路四七五之三號一－四樓
085法登他000232,9,台中縣豐原市水源路五九五號一－四樓
085法登他000258,1,台北市青島東路一號二二一室。
085法登他000274,1,台北市南京東路五段九十二號九樓
085法登他000296,1,高雄市中華一路六十七號
085法登他000332,1,台北市青島東路一號二二一室。
085法登他000367,1,台北市南京東路五段九十二號九樓
085法登他000374,1,台北縣永和市福和路二二五號二二七號一－四樓
085法登他000374,2,台北縣板橋市實踐路一三０號四樓及一三二號四樓
085法登他000374,3,台中市市府路九七號一－八樓
085法登他000374,4,台南市東寧路三八四號一－五樓
085法登他000374,5,嘉義市中山路四九八號一－四樓
085法登他000374,6,高雄市五福四路一０四號一－五樓
085法登他000374,7,屏東市民生路一一八號一－四樓
085法登他000374,8,花蓮市中山路四七五之三號一－四樓
085法登他000374,9,台中縣豐原市水源路五九五號一－四樓
085法登他000374,10,台北縣三重市重陽路四段一三Ｏ號四樓
085法登他000383,1,台北市信義路三段一六二號六樓
085法登他000399,1,新竹市科學園區路一二七巷二弄三號
085法登他000399,2,高雄市三民區德仁里自由一路二號十樓之八
085法登他000399,3,台中市太原路一段四五０號六樓
085法登他000422,1,宜蘭市民權新路一之二號
085法登他000422,2,基隆市義一路二０六號五樓
085法登他000422,3,台北縣板橋市文聖街一九六巷一號四樓
085法登他000422,4,台北市光復北路九六號三樓
085法登他000422,5,桃園縣桃園市育樂街七一號
085法登他000422,6,新竹市西大路六四０號二樓
085法登他000422,7,新竹縣竹北市民權街二十九巷三十九號
085法登他000422,8,台中市三民路三段二０九巷二十五號
085法登他000422,9,彰化市中山路一段五四四號二樓
085法登他000422,10,嘉義市徐州六街三四號
085法登他000423,1,台北市南京東路一段十六號六樓
085法登他000433,1,台中市忠明南路二七０號十四樓之一
085法登他000433,2,高雄市苓雅區英明路二０四巷二號
085法登他000478,1,台北市舘前路二十號八樓
085法登他000478,2,台北市士林區文林路四七三、四七五號二樓
085法登他000488,1,台中市林森路三十六號
085法登他000488,2,花蓮市民權路四十四號
085法登他000556,1,台東市長沙街三０三巷一號
085法登他000583,1,高雄市中華一路六十七號
085法登他000603,1,台中市三民路3段445號（台灣省委員會）
085法登他000603,2,台北市忠孝東路1段9號（台北市委員會）
085法登他000603,3,高雄市民生路二路39號（高雄市委員會）
085法登他000603,4,台北市忠孝東路5段293號3樓（國軍退除役人員黨部委員會）
085法登他000603,5,台北市仁愛路2段1號11樓（生產事業黨部委員會）
085法登他000603,6,台北市泉州街10號（交通事業黨部委員會）
085法登他000603,7,台北市仁愛路2段1號7樓（金融事業黨部委員會）
085法登他000603,8,台北市仁愛路2段1號8樓（新聞黨部委員會）
