登記案號,序號,分事務所地址
088法登他000015,1,新竹市科學園區路一二七巷二弄三號
088法登他000015,2,高雄市三民區德仁里自由一路二號十樓之八
088法登他000015,3,台中市太原路一段四五０號六樓
088法登他000015,4,嘉義市新生路六五七號五樓之一
088法登他000056,1,台北縣永和市福和路二二一號二樓
088法登他000056,2,台北縣板橋市實踐路一三０號四樓及一三二號四樓
088法登他000056,3,台中市市府路九七號一－八樓
088法登他000056,4,台南市東寧路三八四號一－五樓
088法登他000056,5,嘉義市中山路四九八號一－四樓
088法登他000056,6,高雄市五福四路一０四號一－五樓
088法登他000056,7,屏東市民生路一一八號一－四樓
088法登他000056,8,花蓮市中山路四七五之三號一－四樓
088法登他000056,9,台中縣豐原市水源路五九五號一－四樓
088法登他000056,10,台北縣三重市重陽路四段一三Ｏ號四樓
088法登他000056,11,屏東市信義路二七二號一樓至三樓
088法登他000056,12,台南縣永康市中華路六六三號二樓
088法登他000056,13,台中市東興路三段三一五號二樓之一
088法登他000056,14,台中市興安路一段二七一號
088法登他000056,15,嘉義市民族路二四六號二樓
088法登他000056,16,台中市北區陝西路四一號
088法登他000056,17,台北縣土城市清水路一六六號二樓
088法登他000082,1,高雄市三民區九如二路二四八號
088法登他000082,2,台北縣新店市民權路五之二號
088法登他000087,1,高雄市前鎮區三多三路二一七號十六樓
088法登他000087,2,桃園縣中壢市元化路三五七號九樓
088法登他000093,1,高雄市自強一路二十二號五樓之一Ｂ室
088法登他000093,2,台中市北屯路三六０號八樓之二
088法登他000093,3,台南市東門路一段三五八號五樓之二
088法登他000093,4,桃園市復興路五十一號十二樓之四
088法登他000102,1,台北縣汐止鎮康寧街一六九巷一０一、一０二、一０三號
088法登他000144,1,台中市台中港路二段智光巷一號
088法登他000172,1,台北市信義路三段一六二號六樓
088法登他000176,1,高雄市前鎮區新衙路二八八之一號五樓
088法登他000176,2,台中市西區台中港路一段二０一號二樓
088法登他000181,1,台北市和平東路一段一七七號四樓之十二
088法登他000237,1,高雄市三民區博愛一路三六六號二十樓
088法登他000237,2,高雄縣大社鄉三奶村興工路五號
088法登他000273,1,台北縣新店市行政街十巷六至八號及十二巷四至六號
088法登他000287,1,花蓮市商校街二六二號七樓之一
088法登他000287,2,台東市正氣北路二一五巷三號
088法登他000287,3,高雄市博愛一路三九一號十二樓
088法登他000287,4,台南市林森路一段一五八號六樓
088法登他000287,5,台中市五權路一之六七號十三樓
088法登他000287,6,南投縣埔里鎮覆金路二之一號
088法登他000287,7,新竹市和平路一四二號十二樓
088法登他000304,1,高雄市前鎮區三多三路二一七號十六樓
088法登他000304,2,桃園縣中壢市元化路三五七號九樓
088法登他000358,1,"台北市敦化北路一三三號           南投市中興路七００號"
088法登他000358,2,"高雄市中正四路一八九號           彰化市卦山路二號"
088法登他000358,3,"基隆市獅球路八號                 雲林縣斗六市府前路五八號"
088法登他000358,4,"台中市力行路二六二之一號         嘉義市忠孝路三０七號"
088法登他000358,5,"台南市大學路西段六五號           台南縣新營市中正路二三號"
088法登他000358,6,"台北縣板橋市中正路四八號         高雄縣鳳山市中山東路十四號"
088法登他000358,7,"桃園市成功路二段七號             屏東市中華路八十之一號"
088法登他000358,8,"新竹縣竹北市竹北里和平街七二號   台東市博愛路四二五號"
088法登他000358,9,"苗栗市中正路三八二號             花蓮市公園路五三之一號"
088法登他000358,10,"台中縣豐原市中山路五０六號       宜蘭市渭水路一００之二號"
088法登他000380,1,高雄市三民區九如二路二四八號
088法登他000380,2,台北縣新店市民權路五之二號
088法登他000383,1,加利福尼亞州拉克士波市東法蘭西斯德雷克爵士大道六十號三０八室
088法登他000428,1,台中市台中港路二段智光巷一號
088法登他000430,1,台中市忠明南路二七０號十四樓之一
088法登他000430,2,高雄市苓雅區英明路二０四巷二號
088法登他000439,1,台中市自由路一段九八之一號三樓
088法登他000439,2,高雄市自立一路四三一號五樓
088法登他000441,1,台北縣永和市福和路二二一號二樓
088法登他000441,2,台北縣板橋市實踐路一三０號四樓及一三二號四樓
088法登他000441,3,台中市市府路九七號一－八樓
088法登他000441,4,台南市東寧路三八四號一－五樓
088法登他000441,5,嘉義市中山路四九八號一－四樓
088法登他000441,6,高雄市五福四路一０四號一－五樓
088法登他000441,7,屏東市民生路一一八號一－四樓
088法登他000441,8,花蓮市中山路四七五之三號一－四樓
088法登他000441,9,台中縣豐原市水源路五九五號一－四樓
088法登他000441,10,台北縣三重市重陽路四段一三Ｏ號四樓
088法登他000441,11,屏東市信義路二七二號一樓至三樓
088法登他000441,12,台南縣永康市中華路六六三號二樓
088法登他000441,13,台中市東興路三段三一五號二樓之一
088法登他000441,14,台中市興安路一段二七一號
088法登他000441,15,嘉義市民族路二四六號二樓
088法登他000441,16,台中市北區陝西路四七號
088法登他000441,17,台北縣土城市清水路一六六號二樓
088法登他000441,18,台中市自由路二段八號九樓之一
088法登他000441,19,台南市中正路五三巷一號二樓
088法登他000458,1,高雄市前鎮區新衙路二八八之一號五樓
088法登他000458,2,台中市西區台中港路一段二０一號二樓
088法登他000531,1,台北縣汐止鎮康寧街一六九巷一０一、一０二、一０三號
088法登他000532,1,台北市信義路三段一六二號六樓
088法登他000538,1,高雄市新興區中山一路三０八號四樓
088法登他000546,1,加利福尼亞州拉克士波市東法蘭西斯德雷克爵士大道六十號三０八室
088法登他000557,1,台中市南屯區五權西路二段六六八號五樓
088法登他000557,2,高雄市苓雅區四維四路二十二號十一樓之一
088法登他000574,1,台中市復興路四段二三一之一號三樓
088法登他000574,2,高雄市苓雅區自強三路七號七樓
088法登他000574,3,台北市光復北路十一巷三十五號Ｂ１
088法登他000597,1,高雄市三民區九如二路二四八號
088法登他000597,2,台北縣新店市民權路五之二號
088法登他000627,1,台中縣大里市中興路二段七０四號
088法登他000627,2,嘉義市北興街四六０號
088法登他000627,3,屏東市民生路五七號之五
088法登他000627,4,花蓮縣吉安鄉仁里村中山路一段二０九號
